"code","taxon","tvk"
4,"Lipara rufitarsis","NBNSYS0000029842"
2,"Lipara similis","NBNSYS0000029843"
1,"Calamoncosis aspistylina","NBNSYS0000029845"
11,"Polyodaspis ruficornis","NBNSYS0000029850"
2,"Polyodaspis sulcicollis","NBNSYS0000029851"
4,"Trachysiphonella pygmaea","NBNSYS0000029858"
2,"Siphunculina aenea","NBNSYS0000029860"
6,"Conioscinella zetterstedti","NBNSYS0000029882"
3,"Gaurax niger","NBNSYS0000029896"
4,"Oscinella angustipennis","NBNSYS0000029910"
2,"Platycephala umbraculata","NBNSYS0000029943"
1,"Meromyza curvinervis","NBNSYS0000029946"
1,"Meromyza hispanica","NBNSYS0000029949"
2,"Meromyza mosquensis","NBNSYS0000029951"
2,"Cryptonevra consimilis","NBNSYS0000029963"
5,"Cetema elongatum","NBNSYS0100002274"
8,"Cetema myopinum","NBNSYS0100002275"
5,"Cetema simile","NBNSYS0100002278"
6,"Cetema transversum","NBNSYS0100002279"
12,"Chlorops dasycerus","NBNSYS0100002361"
2,"Chlorops rossicus","NBNSYS0100002369"
3,"Chlorops scutellaris","NBNSYS0100002372"
1,"Chloropsina pulicaria","NBNSYS0100002376"
1,"Chloropsina varleyi","NBNSYS0100002377"
3,"Gampsocera numerata","NBNSYS0100003238"
1,"Lasiambia coxalis","NBNSYS0100003665"
3,"Lasiambia parcepilosa","NBNSYS0100003667"
1,"Rhopalopterum brunneipenne","NBNSYS0100005138"
1,"Rhopalopterum crucicarinatum","NBNSYS0100005139"
11,"Trachysiphonella indet.","NBNSYS0100005866"
2,"Tricimba brachyptera","NBNSYS0100005891"
1,"Tricimba humeralis","NBNSYS0100005892"
1,"Lasiosina chandleri","NBNSYS0100027422"
9,"Oscinimorpha sp. nov.","NHMSYS0020936461"
10,"Parectecephala longicornis","NHMSYS0020974203"
7,"Gaurax maculipennis","NHMSYS0021007747"
1,"Meromyza rohdendorfi","NHMSYS0021007753"
7,"Oscinella ventricosi","NHMSYS0021007765"
1,"Homalura tarsata","NHMSYS0021007777"
2,"Colliniella meijerei","NHMSYS0021007807"
1,"Diplotoxoides dalmatina","NHMSYS0021007854"
1,"Gaurax flavomaculatus","NHMSYS0021007863"
7,"Lipara pullitarsis","NHMSYS0021007882"
4,"Elachiptera sp. nr cornuta","NHMSYS0021008020"
4,"Meromyza virescens","NHMSYS0021266396"
