start_day,start_month,start_year,end_day,end_month,end_year,taxon,tvk
1,10,2014,,,,Lipara rufitarsis,NBNSYS0000029842
1,1,1935,,,,Calamoncosis aspistylina,NBNSYS0000029845
1,1,1958,,,,Calamoncosis glyceriae,NBNSYS0000029847
1,1,1933,,,,Speccafrons halophila,NBNSYS0000029879
1,1,1946,,,,Conioscinella mimula,NBNSYS0000029880
1,1,1966,,,,Conioscinella zetterstedti,NBNSYS0000029882
1,1,1932,,,,Dicraeus fennicus,NBNSYS0000029886
1,1,1946,,,,Dicraeus napaeus,NBNSYS0000029888
1,1,1946,,,,Dicraeus scibilis,NBNSYS0000029890
1,1,1946,,,,Incertella scotica,NBNSYS0000029907
1,1,1946,,,,Oscinella angularis,NBNSYS0000029909
1,1,1932,,,,Oscinella angustipennis,NBNSYS0000029910
1,1,1946,,,,Oscinella cariciphila,NBNSYS0000029911
1,1,1946,,,,Oscinella trochanterata,NBNSYS0000029919
1,1,1946,,,,Rhopalopterum fasciola,NBNSYS0000029926
1,1,1946,,,,Elachiptera diastema,NBNSYS0000029932
1,1,1932,,,,Elachiptera rufifrons,NBNSYS0000029935
1,1,1962,,,,Meromyza bohemica,NBNSYS0000029944
1,1,1981,,,,Meromyza curvinervis,NBNSYS0000029946
1,1,1971,,,,Meromyza hispanica,NBNSYS0000029949
1,1,1960,,,,Meromyza mosquensis,NBNSYS0000029951
1,1,1960,,,,Meromyza palposa,NBNSYS0000029954
1,1,1961,,,,Meromyza pluriseta,NBNSYS0000029955
1,1,1962,,,,Meromyza rufa,NBNSYS0000029957
1,1,1960,,,,Meromyza triangulina,NBNSYS0000029960
1,1,1932,,,,Cryptonevra consimilis,NBNSYS0000029963
1,1,1933,,,,Cryptonevra nigritarsis,NBNSYS0000029965
1,1,1966,,,,Thaumatomyia hallandica,NBNSYS0000030009
1,1,1946,,,,Aphanotrigonum brunneum,NBNSYS0100001605
1,1,1946,,,,Aphanotrigonum femorellum,NBNSYS0100001607
1,1,1946,,,,Aphanotrigonum inerme,NBNSYS0100001608
1,1,1985,,,,Cetema elongatum,NBNSYS0100002274
1,1,1921,,,,Cetema neglectum,NBNSYS0100002276
1,1,1985,,,,Cetema simile,NBNSYS0100002278
1,1,1966,,,,Cetema transversum,NBNSYS0100002279
1,1,1955,,,,Chlorops rossicus,NBNSYS0100002369
1,1,1999,,,,Chloropsina pulicaria,NBNSYS0100002376
1,1,1999,,,,Chloropsina varleyi,NBNSYS0100002377
1,1,1932,,,,Elachiptera austriaca,NBNSYS0100002925
1,1,1946,,,,Incertella antennata,NBNSYS0100003591
1,1,1933,,,,Incertella zuercheri,NBNSYS0100003593
1,1,1946,,,,Lasiambia baliola,NBNSYS0100003663
1,1,2000,,,,Lasiambia coxalis,NBNSYS0100003665
1,1,1946,,,,Lasiambia parcepilosa,NBNSYS0100003667
1,1,1977,,,,Lasiosina herpini,NBNSYS0100003675
1,1,1977,,,,Lasiosina intermedia,NBNSYS0100003676
1,1,1960,,,,Meromyza nigriseta,NBNSYS0100004005
1,1,1962,,,,Meromyza ornata,NBNSYS0100004006
1,1,1960,,,,Meromyza zachvatkini,NBNSYS0100004007
1,1,1933,,,,Microcercis trigonella,NBNSYS0100004049
1,1,1933,,,,Neohaplegis glabra,NBNSYS0100004200
1,1,1933,,,,Neohaplegis tarsata,NBNSYS0100004201
1,1,1932,,,,Oscinimorpha albisetosa,NBNSYS0100004355
1,1,1932,,,,Oscinimorpha arcuata,NBNSYS0100004356
1,1,1976,,,,Oscinisoma cognatum,NBNSYS0100004359
1,1,1932,,,,Oscinisoma germanicum,NBNSYS0100004360
1,1,1976,,,,Oscinisoma gilvipes,NBNSYS0100004361
1,1,1987,,,,Rhopalopterum brunneipenne,NBNSYS0100005138
1,1,1987,,,,Rhopalopterum crucicarinatum,NBNSYS0100005139
1,1,1946,,,,Rhopalopterum femorale,NBNSYS0100005140
1,1,1964,,,,Trachysiphonella indet.,NBNSYS0100005866
1,1,1946,,,,Aphanotrigonum brachypterum,NBNSYS0100024189
1,1,2001,,,,Lasiosina chandleri,NBNSYS0100027422
1,1,1933,,,,Incertella nigrifrons,NHMSYS0020706108
1,1,1974,,,,Meromyza rohdendorfi,NHMSYS0021007753
1,1,1961,,,,Meromyza sibirica,NHMSYS0021007759
1,1,1956,,,,Oscinella ventricosi,NHMSYS0021007765
1,1,2007,,,,Homalura tarsata,NHMSYS0021007777
1,1,1932,,,,Colliniella meijerei,NHMSYS0021007807
1,1,1980,,,,Gaurax flavomaculatus,NHMSYS0021007863
1,10,2014,,,,Lipara pullitarsis,NHMSYS0021007882
1,1,1974,,,,Meromyza athletica,NHMSYS0021007942
1,1,1975,,,,Elachiptera sp. nr cornuta,NHMSYS0021008020
1,1,1981,,,,Meromyza sp. nr. depressa,NHMSYS0021122907
1,1,2013,,,,Aphanotrigonum nigripes agg.,NHMSYS0021122950
1,1,1981,,,,Meromyza femorata agg.,NHMSYS0021123186
1,1,1961,,,,Meromyza nigriventris agg.,NHMSYS0021123192
1,1,1932,,,,Lasiambia brevibucca,NHMSYS0021125362
1,1,1981,,,,Meromyza virescens,NHMSYS0021266396
