taxon,tvk,km100,km10,coord_system
Aphanotrigonum brunneum,NBNSYS0100001605,SU,60 61 70 71 80 81,OSGB
Aphanotrigonum brunneum,NBNSYS0100001605,SZ,69 79 89,OSGB
Aphanotrigonum brunneum,NBNSYS0100001605,TF,51 52 53 61 62 63 64 71 72 73 74 83 84,OSGB
Aphanotrigonum brunneum,NBNSYS0100001605,TM,11 12 13 21 22 23 33,OSGB
Aphanotrigonum brunneum,NBNSYS0100001605,TQ,76 77 78 86 87 88 95 96 97 98,OSGB
Aphanotrigonum brunneum,NBNSYS0100001605,TR,05 06 07 15 16 23 24 25 33 34 35,OSGB
Aphanotrigonum femorellum,NBNSYS0100001607,SH,36 37 45 46 47 55 56 57,OSGB
Aphanotrigonum femorellum,NBNSYS0100001607,ST,16 17 18 26 27 28 36 37 38,OSGB
Aphanotrigonum femorellum,NBNSYS0100001607,SU,10 20 30 60 61 70 71 80 81,OSGB
Aphanotrigonum femorellum,NBNSYS0100001607,SY,87 88 89 97 98 99,OSGB
Aphanotrigonum femorellum,NBNSYS0100001607,SZ,07 08 09 19 28 29 38 39 69 79 89,OSGB
Aphanotrigonum femorellum,NBNSYS0100001607,TF,63 64 73 74 83 84 93 94,OSGB
Aphanotrigonum femorellum,NBNSYS0100001607,TG,03 04 13 14,OSGB
Aphanotrigonum femorellum,NBNSYS0100001607,TL,80 81 82 90 91 92,OSGB
Aphanotrigonum femorellum,NBNSYS0100001607,TM,00 01 02 11 12 13 21 22 23 24 25 33 34 35 36 44 45 46,OSGB
Aphanotrigonum femorellum,NBNSYS0100001607,TQ,46 47 48 56 57 58 65 66 67 68 75 76 77 85 86 87 95 96 97,OSGB
Aphanotrigonum femorellum,NBNSYS0100001607,TR,05 06 07 15 16 25 26 27 35 36 37 46 47,OSGB
Aphanotrigonum inerme,NBNSYS0100001608,SE,50 51 60 61 70 71,OSGB
Aphanotrigonum inerme,NBNSYS0100001608,SK,59 69 79,OSGB
Aphanotrigonum inerme,NBNSYS0100001608,SU,60 61 70 71 80 81,OSGB
Aphanotrigonum inerme,NBNSYS0100001608,SY,87 88 89 97 98 99,OSGB
