tvk,code,taxon
NHMSYS0001593156,3,Acantholeberis curvirostris
NHMSYS0001593165,3,Acroperus angustatus
NHMSYS0001593167,3,Acroperus harpae
NHMSYS0020703712,3,Alona affinis
NHMSYS0020703713,3,Alona costata
NHMSYS0020703714,3,Alona elegans
NHMSYS0020703715,3,Alona guttata
NHMSYS0001593173,3,Alona intermedia
NHMSYS0021118395,3,Alona karelica species inquirenda
NHMSYS0001593175,3,Alona quadrangularis
NHMSYS0001593176,3,Alona rustica
NHMSYS0020703717,3,Alona weltneri
NHMSYS0001593178,3,Alonella excisa
NHMSYS0001593179,3,Alonella exigua
NHMSYS0001593180,3,Alonella nana
NBNSYS0100009301,3,Alonopsis elongata
NHMSYS0001593185,3,Anchistropus emarginatus
NHMSYS0001593232,3,Bosmina (Bosmina) longirostris
NHMSYS0001593234,3,Bosmina (Eubosmina) coregoni
NHMSYS0020110440,3,Bosmina (Eubosmina) longispina
NHMSYS0001593253,3,Bythotrephes longimanus
NHMSYS0001593258,3,Camptocercus lilljeborgi
NHMSYS0001593259,3,Camptocercus rectirostris
NHMSYS0001593319,3,Ceriodaphnia
NHMSYS0001593320,3,Ceriodaphnia dubia
NHMSYS0001593321,3,Ceriodaphnia laticaudata
NHMSYS0001593322,3,Ceriodaphnia megops
NHMSYS0001593323,3,Ceriodaphnia pulchella
NHMSYS0001593324,3,Ceriodaphnia quadrangula
NHMSYS0001593325,3,Ceriodaphnia reticulata
NHMSYS0001593327,3,Ceriodaphnia setosa
NHMSYS0001593331,3,Chydorus gibbus
NHMSYS0001593333,3,Chydorus latus
NHMSYS0001593334,3,Chydorus ovalis
NHMSYS0001593336,3,Chydorus sphaericus
NHMSYS0021118401,3,Coronatella rectangula
NHMSYS0001593476,3,Daphnia (Ctenodaphnia) atkinsoni
NHMSYS0001593477,3,Daphnia (Ctenodaphnia) magna
NHMSYS0001593480,3,Daphnia (Daphnia) ambigua
NHMSYS0001593482,3,Daphnia (Daphnia) cucullata
NHMSYS0001593483,3,Daphnia (Daphnia) curvirostris
NHMSYS0001593484,3,Daphnia (Daphnia) galeata
NHMSYS0001593485,3,Daphnia (Daphnia) hyalina
NHMSYS0001593486,3,Daphnia (Daphnia) longispina
NHMSYS0001593487,3,Daphnia (Daphnia) obtusa
NHMSYS0021118352,3,Daphnia (Daphnia) parvula
NHMSYS0001593488,3,Daphnia (Daphnia) pulex
NHMSYS0001593490,3,Daphnia (Daphnia) rosea
NHMSYS0001593518,3,Diaphanosoma brachyurum
NHMSYS0000377483,3,Disparalona rostrata
NHMSYS0001593533,3,Drepanothrix dentata
NHMSYS0020703898,3,Dunhevedia crassa
NHMSYS0001593567,3,Eurycercus (Eurycercus) lamellatus
NHMSYS0001593569,3,Eurycercus (Teretifrons) glacialis
NHMSYS0001593590,3,Graptoleberis testudinaria
NHMSYS0001593624,3,Holopedium gibberum
NHMSYS0001593627,3,Ilyocryptus acutifrons
NHMSYS0001593628,3,Ilyocryptus agilis
NHMSYS0001593629,3,Ilyocryptus sordidus
NHMSYS0001593645,3,Kurzia latissima
NHMSYS0001593654,3,Lathonura rectirostris
NHMSYS0001593656,3,Latona setifera
NHMSYS0001593660,3,Leptodora kindtii
NHMSYS0001593667,3,Leydigia acanthocercoides
NHMSYS0001593668,3,Leydigia leydigi
NHMSYS0001593700,3,Macrothrix hirsuticornis
NHMSYS0001593701,3,Macrothrix laticornis
NHMSYS0001593702,3,Macrothrix rosea
NHMSYS0001593714,3,Megafenestra aurita
NHMSYS0001593736,3,Moina brachiata
NHMSYS0001593737,3,Moina macrocopa
NBNSYS0100013207,3,Moina micrura
NHMSYS0001593757,3,Monospilus dispar
NHMSYS0001593784,3,Ofryoxus gracilis
NHMSYS0020704382,3,Oxyurella tenuicaudis
NHMSYS0021118419,3,Paralona pigra
NHMSYS0021118377,3,Phreatalona protzi
NHMSYS0001593822,3,Pleuroxus (Peracantha) truncatus
NHMSYS0001593824,3,Pleuroxus (Picripleuroxus) denticulatus
NHMSYS0001593825,3,Pleuroxus (Picripleuroxus) laevis
NHMSYS0001593827,3,Pleuroxus (Pleuroxus) trigonellus
NHMSYS0001593828,3,Pleuroxus (Pleuroxus) uncinatus
NHMSYS0001593830,3,Pleuroxus (Tylopleuroxus) aduncus
NHMSYS0001593836,3,Polyphemus pediculus
NHMSYS0001593857,3,Pseudochydorus globosus
NHMSYS0020704524,3,Rhynchotalona falcata
NHMSYS0001593872,3,Scapholeberis mucronata
NHMSYS0001593878,3,Sida crystallina
NHMSYS0001593880,3,Simocephalus exspinosus
NHMSYS0001593881,3,Simocephalus serrulatus
NHMSYS0001593882,3,Simocephalus vetulus
NHMSYS0001593894,3,Streblocerus serricaudatus
NHMSYS0001593922,3,Tretocephala ambigua
