code,taxon,tvk
3,Ameletus inopinatus,NBNSYS0000010859
3,Siphlonurus alternatus,NBNSYS0000010860
3,Siphlonurus armatus,NBNSYS0000010861
3,Siphlonurus lacustris,NBNSYS0000010862
3,Baetis atrebatinus,NBNSYS0000010863
3,Baetis buceratus,NBNSYS0000010864
3,Baetis digitatus,NBNSYS0000010865
3,Baetis muticus,NBNSYS0000010867
3,Baetis niger,NBNSYS0000010868
3,Baetis scambus,NBNSYS0000010870
3,Baetis vernus,NBNSYS0000010871
2,Cloeon simile,NBNSYS0000010875
3,Procloeon bifidum,NBNSYS0000010876
5,Arthroplea congener,NBNSYS0000010877
3,Ecdyonurus dispar,NBNSYS0000010878
2,Ecdyonurus insignis,NBNSYS0000010879
2,Ecdyonurus torrentis,NBNSYS0000010880
3,Ecdyonurus venosus,NBNSYS0000010881
2,Rhithrogena germanica,NBNSYS0000010886
2,Rhithrogena semicolorata,NBNSYS0000010887
3,Habrophlebia fusca,NBNSYS0000010888
3,Leptophlebia vespertina,NBNSYS0000010890
3,Paraleptophlebia cincta,NBNSYS0000010891
2,Paraleptophlebia submarginata,NBNSYS0000010892
4,Paraleptophlebia werneri,NBNSYS0000010893
3,Ephemerella notata,NBNSYS0000010895
2,Potamanthus luteus,NBNSYS0000010896
2,Ephemera lineata,NBNSYS0000010898
2,Ephemera vulgata,NBNSYS0000010899
3,Brachycercus harrisella,NBNSYS0000010900
3,Caenis macrura,NBNSYS0000010903
3,Caenis rivulorum,NBNSYS0000010904
3,Caenis robusta,NBNSYS0000010905
4,Caenis beskidensis,NBNSYS0100002144
4,Electrogena affinis,NBNSYS0100002943
2,Electrogena lateralis,NBNSYS0100002944
3,Kageronia fuscogrisea,NBNSYS0100003631
2,Serratella ignita,NBNSYS0100005496
3,Baetis fuscatus,NHMSYS0000066961
2,Centroptilum luteolum,NHMSYS0000066963
2,Cloeon dipterum,NHMSYS0000066964
2,Procloeon pennulatum,NHMSYS0000066965
3,Caenis horaria,NHMSYS0000066966
3,Caenis luctuosa,NHMSYS0000066967
4,Caenis pseudorivulorum,NHMSYS0000066968
3,Caenis pusilla,NHMSYS0000066969
2,Ephemera danica,NHMSYS0000066970
5,Heptagenia longicauda,NHMSYS0000066972
1,Heptagenia sulphurea,NHMSYS0000066973
3,Leptophlebia marginata,NHMSYS0000066974
3,Baetis rhodani/atlanticus,NHMSYS0021233523
