start_day,start_month,end_day,end_month,stage,taxon,tvk
1,5,31,8,mature,Ameletus inopinatus,NBNSYS0000010859
1,5,30,9,mature,Siphlonurus alternatus,NBNSYS0000010860
1,5,31,8,mature,Siphlonurus armatus,NBNSYS0000010861
1,5,31,8,mature,Siphlonurus lacustris,NBNSYS0000010862
1,5,31,10,mature,Baetis atrebatinus,NBNSYS0000010863
1,4,31,10,mature,Baetis buceratus,NBNSYS0000010864
1,5,30,9,mature,Baetis digitatus,NBNSYS0000010865
1,4,31,10,mature,Baetis muticus,NBNSYS0000010867
1,4,31,10,mature,Baetis niger,NBNSYS0000010868
1,2,30,11,mature,Baetis scambus,NBNSYS0000010870
1,4,31,10,mature,Baetis vernus,NBNSYS0000010871
1,3,30,11,mature,Cloeon simile,NBNSYS0000010875
1,4,31,10,mature,Procloeon bifidum,NBNSYS0000010876
1,5,30,6,mature,Arthroplea congener,NBNSYS0000010877
1,6,31,10,mature,Ecdyonurus dispar,NBNSYS0000010878
1,5,31,10,mature,Ecdyonurus insignis,NBNSYS0000010879
1,3,30,9,mature,Ecdyonurus torrentis,NBNSYS0000010880
1,4,31,10,mature,Ecdyonurus venosus,NBNSYS0000010881
1,3,31,5,mature,Rhithrogena germanica,NBNSYS0000010886
1,4,30,9,mature,Rhithrogena semicolorata,NBNSYS0000010887
1,5,30,9,mature,Habrophlebia fusca,NBNSYS0000010888
1,4,31,8,mature,Leptophlebia vespertina,NBNSYS0000010890
1,5,31,8,mature,Paraleptophlebia cincta,NBNSYS0000010891
1,4,31,7,mature,Paraleptophlebia submarginata,NBNSYS0000010892
1,5,30,6,mature,Paraleptophlebia werneri,NBNSYS0000010893
1,5,30,6,mature,Ephemerella notata,NBNSYS0000010895
1,5,31,10,mature,Potamanthus luteus,NBNSYS0000010896
1,7,31,7,mature,Ephemera lineata,NBNSYS0000010898
1,5,31,8,mature,Ephemera vulgata,NBNSYS0000010899
1,7,31,7,mature,Brachycercus harrisella,NBNSYS0000010900
1,5,31,8,mature,Caenis macrura,NBNSYS0000010903
1,5,30,9,mature,Caenis rivulorum,NBNSYS0000010904
1,6,31,7,mature,Caenis robusta,NBNSYS0000010905
1,7,30,9,mature,Caenis beskidensis,NBNSYS0100002144
1,7,31,8,mature,Electrogena affinis,NBNSYS0100002943
1,5,30,9,mature,Electrogena lateralis,NBNSYS0100002944
1,5,30,6,mature,Kageronia fuscogrisea,NBNSYS0100003631
1,4,30,9,mature,Serratella ignita,NBNSYS0100005496
1,5,31,10,mature,Baetis fuscatus,NHMSYS0000066961
1,4,30,11,mature,Centroptilum luteolum,NHMSYS0000066963
1,5,31,10,mature,Cloeon dipterum,NHMSYS0000066964
1,5,31,10,mature,Procloeon pennulatum,NHMSYS0000066965
1,5,30,9,mature,Caenis horaria,NHMSYS0000066966
1,7,30,9,mature,Caenis luctuosa,NHMSYS0000066967
1,7,31,10,mature,Caenis pseudorivulorum,NHMSYS0000066968
1,6,31,7,mature,Caenis pusilla,NHMSYS0000066969
1,4,30,11,mature,Ephemera danica,NHMSYS0000066970
1,5,30,6,mature,Heptagenia longicauda,NHMSYS0000066972
1,5,31,10,mature,Heptagenia sulphurea,NHMSYS0000066973
1,4,30,6,mature,Leptophlebia marginata,NHMSYS0000066974
