code,taxon,tvk
5,Monochroa moyses,NBNSYS0000005341
5,Scrobipalpa pauperella,NBNSYS0000005366
3,Prolita sexpunctella,NBNSYS0000005367
4,Metzneria littorella,NBNSYS0000026227
3,Monochroa cytisella,NBNSYS0000026233
4,Prolita solutella,NBNSYS0000026301
3,Acompsia schmidtiellus,NBNSYS0100001410
3,Altenia scriptella,NBNSYS0100001488
3,Carpatolechia alburnella,NBNSYS0100002197
3,Carpatolechia decorella,NBNSYS0100002198
4,Carpatolechia fugitivella,NBNSYS0100002199
3,Carpatolechia proximella,NBNSYS0100002201
4,Caryocolum blandelloides,NBNSYS0100002206
4,Coleotechnites piceaella,NBNSYS0100002536
4,Dichomeris alacella,NBNSYS0100002796
3,Dichomeris derasella,NBNSYS0100002797
4,Gelechia sabinellus,NBNSYS0100003245
4,Helcystogramma lutatella,NBNSYS0100003379
2,Helcystogramma rufescens,NBNSYS0100003380
4,Phthorimaea operculella,NBNSYS0100004596
3,Pseudotelphusa paripunctella,NBNSYS0100004937
2,Thiotricha subocellea,NBNSYS0100005809
2,Acompsia cinerella,NHMSYS0000500952
4,Anacampsis blattariella,NHMSYS0000501224
4,Anacampsis populella,NHMSYS0000501225
3,Anacampsis temerella,NHMSYS0000501227
3,Anarsia lineatella,NHMSYS0000501234
3,Anarsia spartiella,NHMSYS0000501235
2,Aristotelia brizella,NHMSYS0000501399
2,Aristotelia ericinella,NHMSYS0000501400
3,Aroga velocella,NHMSYS0000501403
2,Athrips mouffetella,NHMSYS0000501423
3,Athrips rancidella,NHMSYS0000501424
4,Athrips tetrapunctella,NHMSYS0000501425
2,Brachmia blandella,NHMSYS0000501522
3,Brachmia inornatella,NHMSYS0000501524
2,Bryotropha affinis,NHMSYS0000501546
5,Bryotropha basaltinella,NHMSYS0000501547
4,Bryotropha boreella,NHMSYS0000501548
4,Bryotropha desertella,NHMSYS0000501549
2,Bryotropha domestica,NHMSYS0000501550
4,Bryotropha dryadella,NHMSYS0000501551
4,Bryotropha galbanella,NHMSYS0000501553
4,Bryotropha politella,NHMSYS0000501555
4,Bryotropha senectella,NHMSYS0000501557
4,Bryotropha similis,NHMSYS0000501558
3,Bryotropha umbrosella,NHMSYS0000501560
4,Caryocolum alsinella,NHMSYS0000501646
3,Caryocolum blandella,NHMSYS0000501647
5,Caryocolum blandulella,NHMSYS0000501648
4,Caryocolum fraternella,NHMSYS0000501649
5,Caryocolum huebneri,NHMSYS0000501650
5,Caryocolum junctella,NHMSYS0000501651
5,Caryocolum kroesmanniella,NHMSYS0000501653
4,Caryocolum tricolorella,NHMSYS0000501657
3,Caryocolum vicinella,NHMSYS0000501658
4,Caryocolum viscariella,NHMSYS0000501659
4,Chionodes distinctella,NHMSYS0000501753
4,Chionodes fumatella,NHMSYS0000501754
2,Chrysoesthia drurella,NHMSYS0000501780
3,Chrysoesthia sexguttella,NHMSYS0000501782
3,Dichomeris juniperella,NHMSYS0000502153
1,Dichomeris marginella,NHMSYS0000502154
2,Dichomeris ustalella,NHMSYS0000502155
3,Exoteleia dodecella,NHMSYS0000502677
5,Gelechia cuneatella,NHMSYS0000502705
4,Gelechia hippophaella,NHMSYS0000502706
4,Gelechia muscosella,NHMSYS0000502707
4,Gelechia nigra,NHMSYS0000502708
4,Gelechia scotinella,NHMSYS0000502710
4,Gelechia senticetella,NHMSYS0000502712
5,Gnorimoschema streliciella,NHMSYS0000502746
1,Hypatima rhomboidella,NHMSYS0000502903
3,Mesophleps silacella,NHMSYS0000503210
4,Metzneria aestivella,NHMSYS0000503221
4,Metzneria aprilella,NHMSYS0000503222
3,Metzneria lappella,NHMSYS0000503224
3,Metzneria metzneriella,NHMSYS0000503225
4,Metzneria neuropterella,NHMSYS0000503226
4,Mirificarma lentiginosella,NHMSYS0000503246
3,Mirificarma mulinella,NHMSYS0000503247
5,Monochroa conspersella,NHMSYS0000503271
4,Monochroa divisella,NHMSYS0000503272
5,Monochroa elongella,NHMSYS0000503273
5,Monochroa hornigi,NHMSYS0000503274
4,Monochroa lucidella,NHMSYS0000503275
5,Monochroa lutulentella,NHMSYS0000503276
5,Monochroa niphognatha,NHMSYS0000503278
5,Monochroa suffusella,NHMSYS0000503281
5,Monochroa tetragonella,NHMSYS0000503283
5,Neofriseria peliella,NHMSYS0000503366
5,Neofriseria singula,NHMSYS0000503367
3,Nothris congressariella,NHMSYS0000503404
3,Parachronistis albiceps,NHMSYS0000503592
4,Platyedra subcinerea,NHMSYS0000503848
5,Psamathocrita argentella,NHMSYS0000503929
2,Pseudotelphusa scalella,NHMSYS0000503954
4,Psoricoptera gibbosella,NHMSYS0000503958
2,Ptocheuusa paupella,NHMSYS0000503982
1,Recurvaria leucatella,NHMSYS0000504026
3,Scrobipalpa acuminatella,NHMSYS0000504138
