taxon,tvk,start_day,start_month,end_day,end_month,stage
Acompsia cinerella,NHMSYS0000500952,1,6,31,8,mature
Acompsia schmidtiellus,NBNSYS0100001410,1,7,31,8,mature
Altenia scriptella,NBNSYS0100001488,1,6,31,7,mature
Anacampsis blattariella,NHMSYS0000501224,1,7,30,9,mature
Anacampsis populella,NHMSYS0000501225,1,7,30,9,mature
Anacampsis temerella,NHMSYS0000501227,1,6,31,8,mature
Anarsia lineatella,NHMSYS0000501234,1,6,30,9,mature
Anarsia spartiella,NHMSYS0000501235,1,6,31,8,mature
Apodia bifractella,NHMSYS0000501141,1,7,31,8,mature
Aproaerema anthyllidella,NHMSYS0000501164,1,5,30,9,mature
Argolamprotes micella,NHMSYS0000501348,1,7,31,7,mature
Aristotelia brizella,NHMSYS0000501399,1,5,31,8,mature
Aristotelia ericinella,NHMSYS0000501400,1,7,31,8,mature
Aristotelia subdecurtella,NHMSYS0000501401,1,6,31,7,mature
Aroga velocella,NHMSYS0000501403,1,4,30,9,mature
Athrips mouffetella,NHMSYS0000501423,1,6,31,8,mature
Athrips rancidella,NHMSYS0000501424,1,6,31,7,mature
Athrips tetrapunctella,NHMSYS0000501425,1,5,31,7,mature
Brachmia blandella,NHMSYS0000501522,1,6,31,8,mature
Brachmia inornatella,NHMSYS0000501524,1,6,31,7,mature
Bryotropha affinis,NHMSYS0000501546,1,5,31,8,mature
Bryotropha basaltinella,NHMSYS0000501547,1,5,31,8,mature
Bryotropha boreella,NHMSYS0000501548,1,6,31,7,mature
Bryotropha desertella,NHMSYS0000501549,1,5,31,8,mature
Bryotropha domestica,NHMSYS0000501550,1,6,30,9,mature
Bryotropha dryadella,NHMSYS0000501551,1,6,31,8,mature
Bryotropha galbanella,NHMSYS0000501553,1,7,31,8,mature
Bryotropha politella,NHMSYS0000501555,1,6,31,7,mature
Bryotropha senectella,NHMSYS0000501557,1,6,31,8,mature
Bryotropha similis,NHMSYS0000501558,1,6,31,8,mature
Bryotropha terrella,NHMSYS0000501559,1,6,31,8,mature
Bryotropha umbrosella,NHMSYS0000501560,1,5,31,8,mature
Carpatolechia alburnella,NBNSYS0100002197,1,6,31,8,mature
Carpatolechia decorella,NBNSYS0100002198,1,7,30,4,mature
Carpatolechia fugitivella,NBNSYS0100002199,1,6,31,8,mature
Carpatolechia notatella,NBNSYS0100002200,1,5,31,7,mature
Carpatolechia proximella,NBNSYS0100002201,1,5,31,7,mature
Caryocolum alsinella,NHMSYS0000501646,1,6,31,8,mature
Caryocolum blandella,NHMSYS0000501647,1,7,30,9,mature
Caryocolum blandelloides,NBNSYS0100002206,1,8,31,8,mature
Caryocolum blandulella,NHMSYS0000501648,1,7,31,8,mature
Caryocolum fraternella,NHMSYS0000501649,1,7,31,8,mature
Caryocolum huebneri,NHMSYS0000501650,1,7,31,8,mature
Caryocolum junctella,NHMSYS0000501651,1,8,31,5,mature
Caryocolum kroesmanniella,NHMSYS0000501653,1,7,31,8,mature
Caryocolum marmoreum,NHMSYS0000501654,1,6,30,9,mature
Caryocolum proximum,NHMSYS0000501655,1,7,31,8,mature
Caryocolum tricolorella,NHMSYS0000501657,1,7,30,9,mature
Caryocolum vicinella,NHMSYS0000501658,1,6,30,9,mature
Caryocolum viscariella,NHMSYS0000501659,1,7,31,8,mature
Chionodes distinctella,NHMSYS0000501753,1,7,31,8,mature
Chionodes fumatella,NHMSYS0000501754,1,7,31,8,mature
Chrysoesthia drurella,NHMSYS0000501780,1,5,31,10,mature
Chrysoesthia sexguttella,NHMSYS0000501782,1,5,31,10,mature
Coleotechnites piceaella,NBNSYS0100002536,1,7,31,7,mature
Dichomeris alacella,NBNSYS0100002796,1,7,31,8,mature
Dichomeris derasella,NHMSYS0000502151,1,5,30,6,mature
Dichomeris juniperella,NHMSYS0000502153,1,6,31,7,mature
Dichomeris marginella,NHMSYS0000502154,1,6,31,8,mature
Dichomeris ustalella,NHMSYS0000502155,1,5,30,6,mature
Eulamprotes atrella,NHMSYS0000502572,1,7,31,8,mature
Eulamprotes immaculatella,NHMSYS0000502573,1,5,30,9,mature
Eulamprotes unicolorella,NHMSYS0000502576,1,5,31,7,mature
Eulamprotes wilkella,NHMSYS0000502577,1,6,31,8,mature
Exoteleia dodecella,NHMSYS0000502677,1,6,31,8,mature
Gelechia cuneatella,NHMSYS0000502705,1,7,30,9,mature
Gelechia hippophaella,NHMSYS0000502706,1,8,30,9,mature
Gelechia muscosella,NHMSYS0000502707,1,6,31,8,mature
Gelechia nigra,NHMSYS0000502708,1,6,31,8,mature
Gelechia rhombella,NHMSYS0000502709,1,7,31,8,mature
Gelechia sabinellus,NBNSYS0100003245,1,8,31,8,mature
Gelechia scotinella,NHMSYS0000502710,1,6,31,8,mature
Gelechia senticetella,NHMSYS0000502712,1,7,31,8,mature
Gelechia sororculella,NHMSYS0000502713,1,6,31,8,mature
Gelechia turpella,NHMSYS0000502714,1,6,31,8,mature
Gnorimoschema streliciella,NHMSYS0000502746,1,6,30,6,mature
Helcystogramma lutatella,NBNSYS0100003379,1,7,31,8,mature
Helcystogramma rufescens,NBNSYS0100003380,1,6,30,9,mature
Hypatima rhomboidella,NHMSYS0000502903,1,7,30,9,mature
Isophrictis striatella,NHMSYS0000502959,1,7,31,8,mature
Mesophleps silacella,NHMSYS0000503210,1,6,31,7,mature
Metzneria aestivella,NHMSYS0000503221,1,6,31,8,mature
Metzneria aprilella,NHMSYS0000503222,1,6,31,7,mature
Metzneria lappella,NHMSYS0000503224,1,6,31,8,mature
Metzneria littorella,NBNSYS0000026227,1,5,30,6,mature
Metzneria metzneriella,NHMSYS0000503225,1,6,31,7,mature
Metzneria neuropterella,NHMSYS0000503226,1,7,31,8,mature
Mirificarma lentiginosella,NHMSYS0000503246,1,7,31,8,mature
Mirificarma mulinella,NHMSYS0000503247,1,7,30,9,mature
