tvk,code,taxon
NBNSYS0000006813,1,Clitarchus hookeri
NBNSYS0000006818,1,Decticus verrucivorus
NBNSYS0000006821,2,Metrioptera brachyptera
NHMSYS0021351693,1,Roeseliana roeselii
NBNSYS0000006824,1,Conocephalus dorsalis
NBNSYS0000006825,1,Leptophyes punctatissima
NBNSYS0000006827,1,Acheta domesticus
NBNSYS0000006828,1,Nemobius sylvestris
NBNSYS0000006830,4,Gryllotalpa gryllotalpa
NBNSYS0000006831,2,Tetrix ceperoi
NBNSYS0000006832,2,Tetrix subulata
NBNSYS0000006833,2,Tetrix undulata
NBNSYS0000006834,1,Stethophyma grossum
NBNSYS0000006835,2,Stenobothrus lineatus
NBNSYS0000006836,2,Stenobothrus stigmaticus
NBNSYS0000006838,2,Omocestus viridulus
NBNSYS0000006839,1,Myrmeleotettix maculatus
NBNSYS0000006840,1,Gomphocerippus rufus
NBNSYS0000006842,2,Chorthippus brunneus
NBNSYS0000006843,2,Chorthippus parallelus
NBNSYS0000006852,1,Periplaneta americana
NBNSYS0000006853,1,Periplaneta australasiae
NBNSYS0000006854,1,Blatta orientalis
NBNSYS0000006855,1,Pycnoscelus surinamensis
NBNSYS0000006856,1,Blattella germanica
NBNSYS0100003439,1,Henschoutedenia flexivitta
NBNSYS0100004408,1,Panchlora nivea
NBNSYS0100005632,1,Supella longipalpa
NHMSYS0000377674,1,Anacridium aegyptium
NHMSYS0000377677,1,Gryllus bimaculatus
NHMSYS0000377679,1,Locusta migratoria
NHMSYS0000377682,1,Schistocerca gregaria
NHMSYS0001387233,2,Acanthoxyla prasina subsp. geisovii
NHMSYS0001387234,2,Acanthoxyla prasina subsp. inermis
NHMSYS0001387250,1,Anisolabis maritima
NHMSYS0001387259,1,Apterygida media
NHMSYS0001387264,1,Bacillus rossius
NHMSYS0001387282,1,Carausius morosus
NHMSYS0001387286,2,Chorthippus albomarginatus
NHMSYS0001387288,2,Chorthippus vagans
NHMSYS0001387299,2,Ectobius lapponicus
NHMSYS0001387300,2,Ectobius pallidus
NHMSYS0001387301,2,Ectobius panzeri
NHMSYS0001387304,1,Euborellia annulipes
NHMSYS0001387317,1,Forficula auricularia
NHMSYS0001387336,1,Forficula lesnei
NHMSYS0001387359,2,Gryllotalpa
NHMSYS0001387363,1,Gryllus campestris
NHMSYS0001387382,1,Labia minor
NHMSYS0001387398,1,Labidura riparia
NHMSYS0001387415,1,Marava arachidis
NHMSYS0001387418,1,Meconema thalassinum
NHMSYS0001387421,1,Nauphoeta cinerea
NHMSYS0001387431,2,Omocestus rufipes
NHMSYS0001387435,1,Pholidoptera griseoaptera
NHMSYS0001387438,2,Platycleis albopunctata
NHMSYS0001387466,2,Tachycines asynamorus
NHMSYS0001387471,1,Tettigonia viridissima
NHMSYS0001693174,1,Loboptera decipiens
NHMSYS0019998481,2,Phaneroptera falcata
NHMSYS0020752279,1,Conocephalus fuscus
NHMSYS0020784602,1,Colapteroblatta nigra
NHMSYS0020973976,1,Oecanthus pellucens
NHMSYS0020973988,2,Pseudomogoplistes vicentae
NHMSYS0020977729,1,Meconema meridionale
NHMSYS0020978506,1,Ramulus thaii
NHMSYS0020978404,1,Cosmoderus maculatus
NHMSYS0020784634,2,Euchorthippus elegantulus
NHMSYS0020978458,2,Gryllus assimilis
NHMSYS0020978416,1,Jamaicana subguttata
NHMSYS0020978428,1,Mastophyllum scabricolle
NHMSYS0020978470,1,Hiereoblatta cassidea
NHMSYS0020978476,1,Nyctibora brunnea
NHMSYS0020978488,1,Nyctibora noctivaga
NHMSYS0020978434,1,Locusta cinerascens
NHMSYS0020978368,3,Phaneroptera nana
NHMSYS0020978386,3,Ruspolia nitidula
NHMSYS0020978452,1,Zonocerus variegatus
