"start_day","start_month","start_year","end_day","end_month","end_year","taxon","tvk"
1,1,1920,,,,"Acanthoxyla inermis","NBNSYS0000005380"
1,1,1903,,,,"Acanthoxyla geisovii","NBNSYS0000006812"
1,1,1949,,,,"Clitarchus hookeri","NBNSYS0000006813"
1,1,1800,,,,"Decticus verrucivorus","NBNSYS0000006818"
1,1,1800,,,,"Metrioptera brachyptera","NBNSYS0000006821"
1,1,1800,,,,"Conocephalus dorsalis","NBNSYS0000006824"
1,1,1800,,,,"Leptophyes punctatissima","NBNSYS0000006825"
1,1,1800,,,,"Acheta domesticus","NBNSYS0000006827"
1,1,1800,,,,"Nemobius sylvestris","NBNSYS0000006828"
1,1,1800,,,,"Gryllotalpa gryllotalpa","NBNSYS0000006830"
1,1,1800,,,,"Tetrix ceperoi","NBNSYS0000006831"
1,1,1800,,,,"Tetrix subulata","NBNSYS0000006832"
1,1,1800,,,,"Tetrix undulata","NBNSYS0000006833"
1,1,1800,,,,"Stethophyma grossum","NBNSYS0000006834"
1,1,1800,,,,"Stenobothrus lineatus","NBNSYS0000006835"
1,1,1960,,,,"Stenobothrus stigmaticus","NBNSYS0000006836"
1,1,1800,,,,"Omocestus viridulus","NBNSYS0000006838"
1,1,1800,,,,"Myrmeleotettix maculatus","NBNSYS0000006839"
1,1,1800,,,,"Gomphocerippus rufus","NBNSYS0000006840"
1,1,1800,,,,"Chorthippus brunneus","NBNSYS0000006842"
1,1,1800,,,,"Periplaneta americana","NBNSYS0000006852"
1,1,1800,,,,"Periplaneta australasiae","NBNSYS0000006853"
1,1,1800,,,,"Blatta orientalis","NBNSYS0000006854"
1,1,1800,,,,"Pycnoscelus surinamensis","NBNSYS0000006855"
1,1,1800,,,,"Blattella germanica","NBNSYS0000006856"
1,1,1954,,,,"Henschoutedenia flexivitta","NBNSYS0100003439"
1,1,1924,,,,"Panchlora nivea","NBNSYS0100004408"
1,1,1918,,,,"Supella longipalpa","NBNSYS0100005632"
1,1,1934,,,,"Anacridium aegyptium","NHMSYS0000377674"
1,1,1968,,,,"Gryllus bimaculatus","NHMSYS0000377677"
1,1,1846,,,,"Locusta migratoria","NHMSYS0000377679"
1,1,1994,,,,"Schistocerca gregaria","NHMSYS0000377682"
1,1,1900,,,,"Anisolabis maritima","NHMSYS0001387250"
1,1,1904,,,,"Apterygida media","NHMSYS0001387259"
1,1,1987,,,,"Bacillus rossius","NHMSYS0001387264"
1,1,1990,,,,"Carausius morosus","NHMSYS0001387282"
1,1,1800,,,,"Chorthippus albomarginatus","NHMSYS0001387286"
1,1,1800,,,,"Chorthippus vagans","NHMSYS0001387288"
1,1,1800,,,,"Ectobius lapponicus","NHMSYS0001387299"
1,1,1800,,,,"Ectobius pallidus","NHMSYS0001387300"
1,1,1800,,,,"Euborellia annulipes","NHMSYS0001387304"
1,1,1800,,,,"Forficula auricularia","NHMSYS0001387317"
1,1,1800,,,,"Forficula lesnei","NHMSYS0001387336"
1,1,1900,,,,"Gryllotalpa","NHMSYS0001387359"
1,1,1800,,,,"Gryllus campestris","NHMSYS0001387363"
1,1,1800,,,,"Labia minor","NHMSYS0001387382"
1,1,1903,,,,"Labidura riparia","NHMSYS0001387398"
1,1,1800,,,,"Marava arachidis","NHMSYS0001387415"
1,1,1800,,,,"Meconema thalassinum","NHMSYS0001387418"
1,1,1900,,,,"Nauphoeta cinerea","NHMSYS0001387421"
1,1,1800,,,,"Omocestus rufipes","NHMSYS0001387431"
1,1,1800,,,,"Pholidoptera griseoaptera","NHMSYS0001387435"
1,1,1800,,,,"Platycleis albopunctata","NHMSYS0001387438"
1,1,1800,,,,"Tachycines asynamorus","NHMSYS0001387466"
1,1,1800,,,,"Tettigonia viridissima","NHMSYS0001387471"
1,1,1997,,,,"Loboptera decipiens","NHMSYS0001693174"
1,1,2007,,,,"Phaneroptera falcata","NHMSYS0019998481"
1,1,1800,,,,"Conocephalus fuscus","NHMSYS0020752279"
1,1,1969,,,,"Colapteroblatta nigra","NHMSYS0020784602"
1,1,1900,,,,"Euchorthippus elegantulus","NHMSYS0020784634"
1,1,2000,,,,"Oecanthus pellucens","NHMSYS0020973976"
1,1,1940,,,,"Pseudomogoplistes vicentae","NHMSYS0020973988"
1,1,2001,,,,"Meconema meridionale","NHMSYS0020977729"
1,1,1900,,,,"Phaneroptera nana","NHMSYS0020978368"
1,1,2003,,,,"Ruspolia nitidula","NHMSYS0020978386"
1,1,1941,,,,"Cosmoderus maculatus","NHMSYS0020978404"
1,1,1956,,,,"Jamaicana subguttata","NHMSYS0020978416"
1,1,1964,,,,"Mastophyllum scabricolle","NHMSYS0020978428"
1,1,1925,,,,"Locusta cinerascens","NHMSYS0020978434"
1,1,1932,,,,"Zonocerus variegatus","NHMSYS0020978452"
1,1,2004,,,,"Gryllus assimilis","NHMSYS0020978458"
1,1,1932,,,,"Hiereoblatta cassidea","NHMSYS0020978470"
1,1,1931,,,,"Nyctibora brunnea","NHMSYS0020978476"
1,1,1928,,,,"Nyctibora noctivaga","NHMSYS0020978488"
1,1,2001,,,,"Ramulus thaii","NHMSYS0020978506"
1,1,1800,,,,"Roeseliana roeselii","NHMSYS0021351693"
1,1,1800,,,,"Pseudochorthippus parallelus","NHMSYS0021583970"
1,1,1800,,,,"Capraiellus panzeri","NHMSYS0021584595"
