tvk,code,taxon
NBNSYS0000007122,1,Cicindela campestris
NBNSYS0000007124,2,Cicindela hybrida
NBNSYS0000007126,1,Cicindela sylvatica
NBNSYS0000007128,1,Cychrus caraboides
NBNSYS0000007143,2,Calosoma inquisitor
NBNSYS0000007144,4,Calosoma sycophanta
NBNSYS0000007151,2,Pelophila borealis
NBNSYS0000007159,2,Notiophilus aquaticus
NBNSYS0000007161,3,Notiophilus germinyi
NBNSYS0000007162,3,Notiophilus palustris
NBNSYS0000007163,3,Notiophilus quadripunctatus
NBNSYS0000007164,2,Notiophilus rufipes
NBNSYS0000007166,2,Blethisa multipunctata
NBNSYS0000007183,2,Clivina collaris
NBNSYS0000007184,2,Clivina fossor
NBNSYS0000007185,1,Broscus cephalotes
NBNSYS0000007186,1,Miscodera arctica
NBNSYS0000007187,3,Patrobus assimilis
NBNSYS0000007189,3,Patrobus septentrionis
NBNSYS0000007190,3,Perileptus areolatus
NBNSYS0000007193,3,Thalassophilus longicornis
NBNSYS0000007203,3,Asaphidion curtum
NBNSYS0000007204,3,Asaphidion flavipes
NBNSYS0000007206,2,Asaphidion pallipes
NBNSYS0000007207,3,Asaphidion stierlini
NBNSYS0000007274,3,Pogonus chalceus
NBNSYS0000007275,3,Pogonus littoralis
NBNSYS0000007276,2,Pogonus luridipennis
NBNSYS0000007277,1,Stomis pumicatus
NBNSYS0000007302,2,Abax parallelepipedus
NBNSYS0000007303,5,Abax parallelus
NBNSYS0000007313,4,Sphodrus leucophthalmus
NBNSYS0000007318,2,Olisthopus rotundatus
NBNSYS0000007342,3,Perigona nigriceps
NBNSYS0000007374,2,Zabrus tenebrioides
NBNSYS0000007411,3,Anisodactylus nemorivagus
NBNSYS0000007412,2,Anisodactylus poeciloides
NBNSYS0000007413,3,Scybalicus oblongiusculus
NBNSYS0000007414,1,Diachromus germanus
NBNSYS0000007416,3,Dicheirotrichus obsoletus
NBNSYS0000007417,3,Trichocellus cognatus
NBNSYS0000007418,3,Trichocellus placidus
NBNSYS0000007421,3,Bradycellus distinctus
NBNSYS0000007423,2,Bradycellus ruficollis
NBNSYS0000007424,3,Bradycellus sharpi
NBNSYS0000007425,3,Bradycellus verbasci
NBNSYS0000007429,3,Stenolophus skrimshiranus
NBNSYS0000007430,2,Stenolophus teutonus
NBNSYS0000007432,4,Acupalpus brunnipes
NBNSYS0000007435,3,Acupalpus dubius
NBNSYS0000007436,5,Acupalpus elegans
NBNSYS0000007437,3,Acupalpus exiguus
NBNSYS0000007438,4,Acupalpus flavicollis
NBNSYS0000007439,2,Acupalpus meridianus
NBNSYS0000007440,2,Licinus depressus
NBNSYS0000007450,2,Panagaeus cruxmajor
NBNSYS0000007452,4,Chlaenius nitidulus
NBNSYS0000007453,3,Chlaenius tristis
NBNSYS0000007454,1,Chlaenius vestitus
NBNSYS0000007457,1,Odacantha melanura
NBNSYS0000007471,3,Dromius meridionalis
NBNSYS0000007473,2,Dromius quadrimaculatus
NBNSYS0000007478,3,Microlestes maurus
NBNSYS0000007479,3,Microlestes minutulus
NBNSYS0000007483,2,Lionychus quadrillum
NBNSYS0000007488,1,Drypta dentata
NBNSYS0000151143,2,Masoreus wetterhallii
NBNSYS0100001927,2,Bembidion (Actedium) pallidipenne
NBNSYS0100001928,3,Bembidion (Bembidion) humerale
NBNSYS0100001929,3,Bembidion (Bembidion) quadrimaculatum
NBNSYS0100001934,4,Bembidion (Bembidionetolitzkya) tibiale
NBNSYS0100001938,3,Bembidion (Diplocampa) assimile
NBNSYS0100001940,3,Bembidion (Diplocampa) fumigatum
NBNSYS0100001941,4,Bembidion (Emphanes) minimum
NBNSYS0100001942,4,Bembidion (Emphanes) normannum
NBNSYS0100001943,3,Bembidion (Eupetedromus) dentellum
NBNSYS0100001944,3,Bembidion (Lymnaeum) nigropiceum
NBNSYS0100001945,4,Bembidion (Metallina) lampros
NBNSYS0100001947,3,Bembidion (Neja) nigricorne
NBNSYS0100001948,5,Bembidion (Nepha) callosum
NBNSYS0100001950,2,Bembidion (Notaphemphanes) ephippium
NBNSYS0100001951,3,Bembidion (Notaphus) obliquum
NBNSYS0100001953,3,Bembidion (Notaphus) varium
NBNSYS0100001969,3,Bembidion (Philochthus) aeneum
NBNSYS0100001970,3,Bembidion (Philochthus) biguttatum
NBNSYS0100001971,4,Bembidion (Philochthus) guttula
NBNSYS0100001972,3,Bembidion (Philochthus) iricolor
NBNSYS0100001977,4,Bembidion (Plataphus) prasinum
NBNSYS0100001979,2,Bembidion (Princidium) punctulatum
NBNSYS0100001981,3,Bembidion (Semicampa) gilvipes
NBNSYS0100001984,2,Bembidion (Testedium) bipunctatum
NBNSYS0100001985,3,Bembidion (Trepanedoris) doris
NBNSYS0100001986,3,Bembidion (Trepanes) articulatum
NBNSYS0100001987,3,Bembidion (Trepanes) octomaculatum
NBNSYS0100003336,2,Harpalus (Harpalus) affinis
NBNSYS0100003337,3,Harpalus (Harpalus) anxius
NBNSYS0100003338,3,Harpalus (Harpalus) attenuatus
NBNSYS0100003339,5,Harpalus (Harpalus) cupreus
