"start_day","start_month","start_year","end_day","end_month","end_year","taxon","tvk"
,,,13,12,1826,"Carabus cancellatus","NBNSYS0000007131"
,,,13,12,1997,"Calosoma sycophanta","NBNSYS0000007144"
1,1,1942,,,,"Leistus rufomarginatus","NBNSYS0000007149"
1,1,1950,,,,"Nebria nivalis","NBNSYS0000007156"
1,1,1922,,,,"Nebria salina","NBNSYS0000007157"
1,1,1908,,,,"Notiophilus germinyi","NBNSYS0000007161"
1,1,1908,,,,"Notiophilus palustris","NBNSYS0000007162"
1,1,1933,,,,"Dyschirius aeneus","NBNSYS0000007172"
,,,13,12,1940,"Dyschirius extensus","NBNSYS0000007174"
1,1,1910,,,,"Trechus subnotatus","NBNSYS0000007200"
1,1,1986,,,,"Asaphidion curtum","NBNSYS0000007203"
1,1,1986,,,,"Asaphidion flavipes","NBNSYS0000007204"
1,1,1986,,,,"Asaphidion stierlini","NBNSYS0000007207"
1,1,1895,,,,"Bembidion prasinum","NBNSYS0000007223"
1,1,1895,,,,"Bembidion virens","NBNSYS0000007224"
1,1,1926,,,,"Bembidion geniculatum","NBNSYS0000007226"
1,1,1926,,,,"Bembidion tibiale","NBNSYS0000007227"
1,1,1976,,,,"Bembidion humerale","NBNSYS0000007242"
,,,13,12,1851,"Bembidion callosum","NBNSYS0000007252"
1,1,1893,,,,"Bembidion iricolor","NBNSYS0000007263"
1,1,1893,,,,"Bembidion lunulatum","NBNSYS0000007264"
1,1,1934,,,,"Tachys bistriatus","NBNSYS0000007266"
1,1,1924,,,,"Tachys micros","NBNSYS0000007269"
,,,13,12,1973,"Pterostichus aterrimus","NBNSYS0000007282"
1,1,1990,,,,"Pterostichus nigrita","NBNSYS0000007295"
1,1,1990,,,,"Pterostichus rhaeticus","NBNSYS0000007298"
1,1,1913,13,12,1913,"Abax parallelus","NBNSYS0000007303"
1,1,1989,,,,"Calathus cinctus","NBNSYS0000007306"
,,,13,12,1979,"Sphodrus leucophthalmus","NBNSYS0000007313"
1,1,1902,,,,"Laemostenus complanatus","NBNSYS0000007314"
1,1,1902,,,,"Laemostenus terricola","NBNSYS0000007315"
,,,13,12,1987,"Agonum gracilipes","NBNSYS0000007325"
1,1,1985,,,,"Agonum lugens","NBNSYS0000007327"
,,,13,12,1985,"Agonum scitulum","NBNSYS0000007337"
1,1,1950,,,,"Perigona nigriceps","NBNSYS0000007342"
1,1,1905,,,,"Amara anthobia","NBNSYS0000007345"
1,1,1953,13,12,1953,"Amara cursitans","NBNSYS0000007353"
1,1,1896,,,,"Amara famelica","NBNSYS0000007357"
1,1,1950,,,,"Amara montivaga","NBNSYS0000007364"
,,,13,12,1957,"Harpalus calceatus","NBNSYS0000007378"
,,,13,12,1914,"Harpalus cupreus","NBNSYS0000007393"
1,1,1898,,,,"Harpalus tardus","NBNSYS0000007406"
1,1,1913,,,,"Bradycellus distinctus","NBNSYS0000007421"
1,1,1913,,,,"Bradycellus sharpi","NBNSYS0000007424"
,,,13,12,1952,"Acupalpus elegans","NBNSYS0000007436"
1,1,1955,,,,"Badister dilatatus","NBNSYS0000007444"
1,1,1972,,,,"Badister meridionalis","NBNSYS0000007445"
1,1,1955,,,,"Badister peltatus","NBNSYS0000007446"
,,,13,12,1930,"Chlaenius nitidulus","NBNSYS0000007452"
,,,13,12,1864,"Lebia marginata","NBNSYS0000007462"
,,,13,12,1883,"Lebia scapularis","NBNSYS0000007463"
1,1,1997,,,,"Microlestes maurus","NBNSYS0000007478"
1,1,1997,,,,"Microlestes minutulus","NBNSYS0000007479"
1,1,1982,,,,"Cymindis axillaris","NBNSYS0000007484"
1,1,1982,,,,"Cymindis macularis","NBNSYS0000007485"
1,1,1898,,,,"Harpalus froelichii","NBNSYS0000148172"
,,,13,12,1989,"Ophonus puncticollis","NBNSYS0000152772"
1,1,1912,,,,"Ophonus rufibarbis","NBNSYS0000152775"
1,1,1955,,,,"Badister collaris","NBNSYS0000189304"
1,1,2003,,,,"Acupalpus maculatus","NHMSYS0001716498"
1,1,2003,,,,"Acupalpus parvulus","NHMSYS0001716499"
1,1,1902,13,12,2003,"Bracteon argenteolum","NHMSYS0001717388"
1,1,1902,,,,"Bracteon litorale","NHMSYS0001717389"
1,1,1972,,,,"Bradycellus csikii","NHMSYS0001717394"
1,1,1972,,,,"Bradycellus harpalinus","NHMSYS0001717396"
,,,13,12,1953,"Callistus lunatus","NHMSYS0001717463"
1,1,1908,,,,"Dromius angustus","NHMSYS0001717971"
1,1,1933,,,,"Dyschirius tristis","NHMSYS0001718015"
1,1,1971,,,,"Omophron limbatum","NHMSYS0001719291"
,,,13,12,1863,"Porotachys bisulcatus","NHMSYS0001719676"
,,,13,12,1980,"Sericoda quadripunctata","NHMSYS0001720084"
1,1,1901,13,12,1901,"Stenolophus comma","NHMSYS0001720160"
1,1,1922,,,,"Nebria brevicollis","NHMSYS0020109264"
1,1,1912,,,,"Ophonus melletii","NHMSYS0020193666"
,,,13,12,1914,"Agonum chalconotum","NHMSYS0020919934"
1,1,1926,,,,"Bembidion atrocaeruleum","NHMSYS0020919945"
,,,13,12,1836,"Carabus convexus","NHMSYS0020919965"
1,1,1912,,,,"Ophonus puncticeps","NHMSYS0020920002"
1,1,1912,,,,"Ophonus schaubergerianus","NHMSYS0020920003"
1,1,2001,13,12,1886,"Ophonus subsinuatus","NHMSYS0020920004"
1,1,1916,,,,"Pterostichus quadrifoveolatus","NHMSYS0020920016"
1,1,1934,,,,"Tachys obtusiusculus","NHMSYS0020920022"
1,1,1989,,,,"Calathus melanocephalus","NHMSYS0021232909"
1,1,1999,,,,"Sinechostictus inustus","NHMSYS0021366634"
1,1,1913,,,,"Tachyura parvula","NHMSYS0021366689"
