start_day,start_month,end_day,end_month,stage,taxon,tvk
1,2,30,11,mature,Cicindela campestris,NBNSYS0000007122
1,3,31,10,mature,Cicindela hybrida,NBNSYS0000007124
1,2,31,7,mature,Carabus auratus,NBNSYS0000007130
1,4,30,9,mature,Carabus glabratus,NBNSYS0000007133
1,4,30,9,mature,Carabus monilis,NBNSYS0000007136
1,3,31,8,mature,Carabus nitens,NBNSYS0000007138
1,4,31,8,mature,Calosoma inquisitor,NBNSYS0000007143
1,5,31,8,mature,Calosoma sycophanta,NBNSYS0000007144
1,5,31,10,mature,Leistus montanus,NBNSYS0000007147
1,6,31,8,mature,Pelophila borealis,NBNSYS0000007151
1,5,31,10,mature,Nebria livida,NBNSYS0000007155
1,4,30,9,mature,Nebria nivalis,NBNSYS0000007156
1,4,31,10,mature,Elaphrus lapponicus,NBNSYS0000007168
1,5,31,10,mature,Miscodera arctica,NBNSYS0000007186
1,5,30,9,mature,Patrobus septentrionis,NBNSYS0000007189
1,4,30,9,mature,Perileptus areolatus,NBNSYS0000007190
1,4,30,9,mature,Thalassophilus longicornis,NBNSYS0000007193
1,6,30,9,mature,Trechus rivularis,NBNSYS0000007197
1,4,31,12,mature,Trechus secalis,NBNSYS0000007199
1,4,30,9,mature,Asaphidion pallipes,NBNSYS0000007206
1,3,30,11,mature,Bembidion pallidipenne,NBNSYS0000007216
1,3,31,10,mature,Bembidion ephippium,NBNSYS0000007222
1,4,31,10,mature,Bembidion humerale,NBNSYS0000007242
1,4,30,9,mature,Pogonus littoralis,NBNSYS0000007275
1,3,30,9,mature,Pogonus luridipennis,NBNSYS0000007276
1,5,30,9,mature,Agonum gracilipes,NBNSYS0000007325
1,4,31,10,mature,Amara quenseli,NBNSYS0000007369
1,4,31,10,mature,Zabrus tenebrioides,NBNSYS0000007374
1,4,31,10,mature,Harpalus dimidiatus,NBNSYS0000007394
1,5,31,8,mature,Harpalus honestus,NBNSYS0000007396
1,5,30,9,mature,Harpalus melancholicus,NBNSYS0000007398
1,3,31,8,mature,Harpalus neglectus,NBNSYS0000007399
1,4,31,10,mature,Harpalus serripes,NBNSYS0000007403
1,3,31,10,mature,Harpalus servus,NBNSYS0000007404
1,3,31,10,mature,Harpalus smaragdinus,NBNSYS0000007405
1,3,31,10,mature,Harpalus tenebrosus,NBNSYS0000007407
1,3,30,11,mature,Dicheirotrichus obsoletus,NBNSYS0000007416
1,5,30,9,mature,Acupalpus elegans,NBNSYS0000007436
1,4,31,10,mature,Lebia cruxminor,NBNSYS0000007460
1,3,31,10,mature,Lebia cyanocephala,NBNSYS0000007461
1,3,31,7,mature,Drypta dentata,NBNSYS0000007488
1,4,31,10,mature,Harpalus froelichii,NBNSYS0000148172
1,4,30,9,mature,Ophonus cordatus,NBNSYS0000152767
1,2,30,9,mature,Ophonus puncticollis,NBNSYS0000152772
1,3,31,10,mature,Ophonus rupicola,NBNSYS0000152776
1,4,30,9,mature,Ophonus sabulicola,NBNSYS0000152778
1,4,31,10,mature,Blemus discus,NHMSYS0001717333
1,3,31,10,mature,Cicindela maritima,NHMSYS0001717604
1,5,30,9,mature,Curtonotus alpinus,NHMSYS0001717776
1,5,31,8,mature,Cylindera germanica,NHMSYS0001717787
1,3,30,11,mature,Dicheirotrichus gustavii,NHMSYS0001717913
1,5,31,12,mature,Eurynebria complanata,NHMSYS0001718164
1,2,31,10,mature,Omophron limbatum,NHMSYS0001719291
1,5,30,9,mature,Polistichus connexus,NHMSYS0001719662
1,4,31,10,mature,Sericoda quadripunctata,NHMSYS0001720084
1,4,31,10,mature,Ophonus laticollis,NHMSYS0020193665
1,4,31,12,mature,Ophonus melletii,NHMSYS0020193666
1,4,30,9,mature,Ophonus stictus,NHMSYS0020193667
1,4,31,8,mature,Harpalus laevipes,NHMSYS0020919977
1,3,30,9,mature,Harpalus pumilus,NHMSYS0020919978
1,5,31,8,mature,Harpalus griseus,NHMSYS0020919980
1,5,30,9,mature,Ophonus parallelus,NHMSYS0020920001
1,3,30,9,mature,Nebria rufescens,NHMSYS0021232987
1,4,31,8,mature,Bembidion coeruleum,NHMSYS0021419104
