"km100","km10","coord_system","taxon","tvk"
"HY","10 20 21 30 31","OSGB","Cicindela campestris","NBNSYS0000007122"
"NB","90 91","OSGB","Cicindela campestris","NBNSYS0000007122"
"NC","00 01 02 03 10 11 12 13 14 15 16 20 21 22 23 24 25 26 30 31 32 33 34 35 36 37 40 41 42 43 44 45 46 50 52 53 54 55 56 60 61 62 63 64 65 66 70 71 74 75 76 80 81 84 85 86 90 91 92","OSGB","Cicindela campestris","NBNSYS0000007122"
"ND","01 02 03 04 12 13 14 19 23 24 29 39","OSGB","Cicindela campestris","NBNSYS0000007122"
"NG","13 14 15 20 23 24 25 30 31 33 34 35 40 41 42 43 44 45 52 53 54 55 60 61 62 63 64 65 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Cicindela campestris","NBNSYS0000007122"
"NH","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98","OSGB","Cicindela campestris","NBNSYS0000007122"
"NJ","00 01 02 03 04 05 06 10 11 12 13 15 16 17 20 21 22 30 40 50","OSGB","Cicindela campestris","NBNSYS0000007122"
"NM","29 31 32 33 37 38 39 40 41 42 43 47 48 49 51 52 53 54 57 59 62 63 64 67 68 69 72 73 74 77 78 79 87 88 89 95 96 97 98 99","OSGB","Cicindela campestris","NBNSYS0000007122"
"NN","05 06 07 08 09 12 13 14 15 16 17 18 19 20 21 22 23 24 27 28 29 30 31 32 33 34 39 40 41 42 43 44 45 46 50 51 52 53 54 55 56 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 85 86 87 88 89 95 96 97 98 99","OSGB","Cicindela campestris","NBNSYS0000007122"
"NO","05 06 07 09 15 16 17 18 19 27 28 29 37 38 39 48 49 58 59","OSGB","Cicindela campestris","NBNSYS0000007122"
"NR","15 16 24 25 26 27 33 34 35 36 37 38 39 44 45 48 49","OSGB","Cicindela campestris","NBNSYS0000007122"
"NS","00 07 08 09 10 17 18 19 20 24 25 26 27 28 29 34 35 36 38 39 44 45 46 48 49 59 69 79 89","OSGB","Cicindela campestris","NBNSYS0000007122"
"NT","32 33 34 42 43 44 50 52 53 54 60 70 80 81 82 83 84 90 91 92 93 94","OSGB","Cicindela campestris","NBNSYS0000007122"
"NU","00 01 02 03 04 10 11 12 13 14","OSGB","Cicindela campestris","NBNSYS0000007122"
"NX","04 05 06 08 09 14 15 16 18 19 24 25 26 27 28 29 30 35 36 37 38 39 40 45 46 47 48 49 55 56 57 58 59 90 91 92 93","OSGB","Cicindela campestris","NBNSYS0000007122"
