code,taxon,tvk
3,Cheilosia fraterna,NBNSYS0000005502
1,Baccha elongata,NBNSYS0000006862
4,Melanostoma dubium,NBNSYS0000006865
2,Melanostoma mellinum,NBNSYS0000006866
2,Melanostoma scalare,NBNSYS0000006867
3,Platycheirus ambiguus,NBNSYS0000006869
4,Platycheirus amplus,NBNSYS0000006870
2,Platycheirus albimanus,NBNSYS0000006871
3,Platycheirus angustatus,NBNSYS0000006872
3,Platycheirus discimanus,NBNSYS0000006874
3,Platycheirus fulviventris,NBNSYS0000006875
4,Platycheirus immarginatus,NBNSYS0000006876
2,Platycheirus manicatus,NBNSYS0000006877
4,Platycheirus melanopsis,NBNSYS0000006878
3,Platycheirus perpallidus,NBNSYS0000006880
3,Platycheirus podagratus,NBNSYS0000006881
3,Platycheirus scambus,NBNSYS0000006882
3,Platycheirus scutatus,NBNSYS0000006883
4,Platycheirus sticticus,NBNSYS0000006884
2,Platycheirus tarsalis,NBNSYS0000006885
3,Platycheirus nielseni,NBNSYS0000006886
2,Xanthandrus comtus,NBNSYS0000006889
3,Paragus haemorrhous,NBNSYS0000006890
4,Paragus tibialis,NBNSYS0000006891
4,Paragus albifrons,NBNSYS0000006892
2,Chrysotoxum arcuatum,NBNSYS0000006893
1,Chrysotoxum bicinctum,NBNSYS0000006894
2,Chrysotoxum cautum,NBNSYS0000006895
3,Chrysotoxum elegans,NBNSYS0000006896
2,Chrysotoxum festivum,NBNSYS0000006897
4,Chrysotoxum vernale,NBNSYS0000006899
3,Chrysotoxum verralli,NBNSYS0000006900
2,Dasysyrphus albostriatus,NBNSYS0000006901
4,Dasysyrphus friuliensis,NBNSYS0000006902
2,Dasysyrphus tricinctus,NBNSYS0000006905
5,Didea alneti,NBNSYS0000006907
3,Didea fasciata,NBNSYS0000006908
4,Didea intermedia,NBNSYS0000006909
2,Epistrophe diaphana,NBNSYS0000006911
1,Epistrophe eligans,NBNSYS0000006912
2,Epistrophe grossulariae,NBNSYS0000006913
3,Epistrophe nitidicollis,NBNSYS0000006914
1,Episyrphus balteatus,NBNSYS0000006916
2,Eriozona syrphoides,NBNSYS0000006917
1,Leucozona glaucia,NBNSYS0000006918
1,Leucozona laternaria,NBNSYS0000006919
1,Leucozona lucorum,NBNSYS0000006920
4,Melangyna arctica,NBNSYS0000006922
4,Melangyna barbifrons,NBNSYS0000006923
4,Melangyna compositarum,NBNSYS0000006924
4,Melangyna ericarum,NBNSYS0000006925
4,Melangyna labiatarum,NBNSYS0000006926
3,Melangyna lasiophthalma,NBNSYS0000006927
3,Melangyna quadrimaculata,NBNSYS0000006928
3,Melangyna umbellatarum,NBNSYS0000006929
3,Melangyna cincta,NBNSYS0000006930
2,Meliscaeva auricollis,NBNSYS0000006933
2,Meliscaeva cinctella,NBNSYS0000006934
2,Eupeodes corollae,NBNSYS0000006937
2,Eupeodes luniger,NBNSYS0000006941
3,Parasyrphus annulatus,NBNSYS0000006943
4,Parasyrphus nigritarsis,NBNSYS0000006946
3,Parasyrphus punctulatus,NBNSYS0000006947
3,Parasyrphus vittiger,NBNSYS0000006948
5,Scaeva albomaculata,NBNSYS0000006949
5,Scaeva mecogramma,NBNSYS0000006950
1,Scaeva pyrastri,NBNSYS0000006951
2,Scaeva selenitica,NBNSYS0000006952
3,Sphaerophoria fatarum,NBNSYS0000006953
4,Sphaerophoria batava,NBNSYS0000006954
4,Sphaerophoria loewi,NBNSYS0000006955
3,Sphaerophoria rueppellii,NBNSYS0000006958
2,Sphaerophoria scripta,NBNSYS0000006959
3,Sphaerophoria taeniata,NBNSYS0000006960
4,Sphaerophoria virgata,NBNSYS0000006961
4,Sphaerophoria potentillae,NBNSYS0000006963
3,Syrphus ribesii,NBNSYS0000006964
3,Syrphus vitripennis,NBNSYS0000006966
2,Xanthogramma citrofasciatum,NBNSYS0000006967
2,Callicera aurata,NBNSYS0000006969
2,Callicera rufa,NBNSYS0000006970
2,Callicera spinolae,NBNSYS0000006971
2,Cheilosia albipila,NBNSYS0000006972
3,Cheilosia albitarsis,NBNSYS0000006973
3,Cheilosia antiqua,NBNSYS0000006974
3,Cheilosia barbata,NBNSYS0000006975
3,Cheilosia bergenstammi,NBNSYS0000006976
3,Cheilosia carbonaria,NBNSYS0000006977
3,Cheilosia chrysocoma,NBNSYS0000006978
4,Cheilosia cynocephala,NBNSYS0000006979
4,Cheilosia griseiventris,NBNSYS0000006981
2,Cheilosia grossa,NBNSYS0000006982
1,Cheilosia illustrata,NBNSYS0000006984
3,Cheilosia impressa,NBNSYS0000006985
3,Cheilosia longula,NBNSYS0000006988
