"start_day","start_month","end_day","end_month","stage","taxon","tvk"
6,2,18,12,"mature","Cheilosia fraterna","NBNSYS0000005502"
6,2,30,12,"mature","Baccha elongata","NBNSYS0000006862"
8,3,8,9,"mature","Melanostoma dubium","NBNSYS0000006865"
17,1,18,12,"mature","Melanostoma mellinum","NBNSYS0000006866"
7,1,18,12,"mature","Melanostoma scalare","NBNSYS0000006867"
2,2,2,11,"mature","Platycheirus ambiguus","NBNSYS0000006869"
5,1,18,12,"mature","Platycheirus albimanus","NBNSYS0000006871"
8,4,2,11,"mature","Platycheirus angustatus","NBNSYS0000006872"
26,3,1,10,"mature","Platycheirus discimanus","NBNSYS0000006874"
7,4,1,11,"mature","Platycheirus fulviventris","NBNSYS0000006875"
8,5,13,11,"mature","Platycheirus immarginatus","NBNSYS0000006876"
7,3,18,12,"mature","Platycheirus manicatus","NBNSYS0000006877"
8,3,10,10,"mature","Platycheirus melanopsis","NBNSYS0000006878"
3,5,15,9,"mature","Platycheirus perpallidus","NBNSYS0000006880"
7,3,7,10,"mature","Platycheirus podagratus","NBNSYS0000006881"
7,5,7,10,"mature","Platycheirus scambus","NBNSYS0000006882"
7,4,24,9,"mature","Platycheirus sticticus","NBNSYS0000006884"
2,4,2,11,"mature","Platycheirus tarsalis","NBNSYS0000006885"
25,4,28,11,"mature","Xanthandrus comtus","NBNSYS0000006889"
8,4,7,11,"mature","Paragus haemorrhous","NBNSYS0000006890"
21,5,11,10,"mature","Paragus tibialis","NBNSYS0000006891"
1,6,2,11,"mature","Paragus albifrons","NBNSYS0000006892"
21,3,2,11,"mature","Chrysotoxum bicinctum","NBNSYS0000006894"
6,4,22,9,"mature","Chrysotoxum cautum","NBNSYS0000006895"
2,4,10,10,"mature","Chrysotoxum elegans","NBNSYS0000006896"
3,2,2,11,"mature","Chrysotoxum festivum","NBNSYS0000006897"
15,4,3,11,"mature","Chrysotoxum festivum","NBNSYS0000006897"
5,5,14,8,"mature","Chrysotoxum vernale","NBNSYS0000006899"
14,5,15,11,"mature","Chrysotoxum verralli","NBNSYS0000006900"
16,1,11,12,"mature","Dasysyrphus albostriatus","NBNSYS0000006901"
24,4,22,7,"mature","Dasysyrphus friuliensis","NBNSYS0000006902"
6,2,18,12,"mature","Dasysyrphus tricinctus","NBNSYS0000006905"
14,5,20,9,"mature","Didea alneti","NBNSYS0000006907"
16,1,9,11,"mature","Didea fasciata","NBNSYS0000006908"
28,4,15,10,"mature","Didea intermedia","NBNSYS0000006909"
13,5,2,11,"mature","Epistrophe diaphana","NBNSYS0000006911"
6,2,7,11,"mature","Epistrophe eligans","NBNSYS0000006912"
27,1,12,12,"mature","Epistrophe grossulariae","NBNSYS0000006913"
6,2,7,11,"mature","Epistrophe nitidicollis","NBNSYS0000006914"
3,1,28,12,"mature","Episyrphus balteatus","NBNSYS0000006916"
11,5,31,10,"mature","Eriozona syrphoides","NBNSYS0000006917"
8,1,11,12,"mature","Leucozona glaucia","NBNSYS0000006918"
8,1,30,9,"mature","Leucozona laternaria","NBNSYS0000006919"
20,3,18,12,"mature","Leucozona lucorum","NBNSYS0000006920"
18,3,7,10,"mature","Melangyna arctica","NBNSYS0000006922"
14,3,12,8,"mature","Melangyna barbifrons","NBNSYS0000006923"
24,6,3,10,"mature","Melangyna ericarum","NBNSYS0000006925"
10,2,4,10,"mature","Melangyna lasiophthalma","NBNSYS0000006927"
24,2,1,10,"mature","Melangyna quadrimaculata","NBNSYS0000006928"
11,3,2,11,"mature","Melangyna umbellatarum","NBNSYS0000006929"
6,2,18,12,"mature","Melangyna cincta","NBNSYS0000006930"
3,1,1,1,"mature","Meliscaeva auricollis","NBNSYS0000006933"
6,2,11,12,"mature","Meliscaeva cinctella","NBNSYS0000006934"
19,2,26,11,"mature","Eupeodes corollae","NBNSYS0000006937"
10,4,7,10,"mature","Parasyrphus annulatus","NBNSYS0000006943"
29,4,3,8,"mature","Parasyrphus nigritarsis","NBNSYS0000006946"
3,3,7,11,"mature","Parasyrphus punctulatus","NBNSYS0000006947"
20,3,7,10,"mature","Parasyrphus vittiger","NBNSYS0000006948"
17,6,3,8,"mature","Scaeva albomaculata","NBNSYS0000006949"
20,8,20,8,"mature","Scaeva mecogramma","NBNSYS0000006950"
8,1,18,12,"mature","Scaeva pyrastri","NBNSYS0000006951"
5,1,28,12,"mature","Scaeva selenitica","NBNSYS0000006952"
6,2,24,9,"mature","Sphaerophoria fatarum","NBNSYS0000006953"
6,2,13,10,"mature","Sphaerophoria batava","NBNSYS0000006954"
6,6,2,9,"mature","Sphaerophoria loewi","NBNSYS0000006955"
11,4,26,11,"mature","Sphaerophoria rueppellii","NBNSYS0000006958"
5,1,10,12,"mature","Sphaerophoria scripta","NBNSYS0000006959"
26,4,2,11,"mature","Sphaerophoria taeniata","NBNSYS0000006960"
6,2,7,11,"mature","Sphaerophoria virgata","NBNSYS0000006961"
28,5,9,7,"mature","Sphaerophoria potentillae","NBNSYS0000006963"
7,1,22,12,"mature","Syrphus ribesii","NBNSYS0000006964"
8,1,20,12,"mature","Syrphus vitripennis","NBNSYS0000006966"
22,4,8,9,"mature","Xanthogramma citrofasciatum","NBNSYS0000006967"
13,3,2,10,"mature","Callicera aurata","NBNSYS0000006969"
3,1,1,1,"mature","Callicera rufa","NBNSYS0000006970"
9,9,8,10,"mature","Callicera spinolae","NBNSYS0000006971"
