"code","taxon","tvk"
1,"Erinaceus europaeus","NBNSYS0000005078"
1,"Talpa europaea","NBNSYS0000005079"
4,"Sorex araneus","NBNSYS0000005081"
4,"Sorex minutus","NBNSYS0000005082"
3,"Lepus timidus","NBNSYS0000005106"
1,"Castor fiber","NBNSYS0000005107"
1,"Sciurus vulgaris","NBNSYS0000005108"
3,"Mus musculus","NBNSYS0000005121"
3,"Mustela erminea","NBNSYS0000005127"
3,"Mustela nivalis","NBNSYS0000005128"
3,"Mustela putorius","NBNSYS0000005129"
3,"Lutra lutra","NBNSYS0000005133"
3,"Phoca vitulina","NBNSYS0000005135"
3,"Halichoerus grypus","NBNSYS0000005137"
5,"Pagophilus groenlandicus","NBNSYS0000005138"
5,"Erignathus barbatus","NBNSYS0000005139"
3,"Sus scrofa","NBNSYS0000005142"
3,"Cervus elaphus","NBNSYS0000005143"
3,"Cervus nippon","NBNSYS0000005144"
3,"Dama dama","NBNSYS0000005145"
3,"Hydropotes inermis","NBNSYS0000005148"
3,"Megaptera novaeangliae","NBNSYS0000005159"
3,"Balaenoptera physalus","NBNSYS0000005160"
4,"Balaenoptera borealis","NBNSYS0000005162"
4,"Balaenoptera musculus","NBNSYS0000005163"
5,"Hyperoodon ampullatus","NBNSYS0000005166"
4,"Ziphius cavirostris","NBNSYS0000005167"
5,"Mesoplodon bidens","NBNSYS0000005168"
5,"Mesoplodon mirus","NBNSYS0000005169"
3,"Phocoena phocoena","NBNSYS0000005172"
3,"Orcinus orca","NBNSYS0000005173"
5,"Pseudorca crassidens","NBNSYS0000005174"
3,"Tursiops truncatus","NBNSYS0000005179"
3,"Delphinus delphis","NBNSYS0000005181"
3,"Rangifer tarandus","NBNSYS0000005183"
3,"Mustela furo x putorius","NBNSYS0000040117"
3,"Ondatra zibethicus","NBNSYS0000040193"
3,"Physeter macrocephalus","NBNSYS0000163066"
5,"Odobenus rosmarus","NBNSYS0000188733"
5,"Cystophora cristata","NBNSYS0000188739"
3,"Stenella coeruleoalba","NBNSYS0000188741"
5,"Mesoplodon europaeus","NBNSYS0000188757"
3,"Macropus rufogriseus","NHMSYS0000080171"
5,"Crocidura suaveolens","NHMSYS0000080173"
3,"Neomys fodiens","NHMSYS0000080174"
1,"Vulpes vulpes","NHMSYS0000080188"
1,"Felis catus","NHMSYS0000080189"
3,"Martes martes","NHMSYS0000080190"
1,"Meles meles","NHMSYS0000080191"
3,"Balaenoptera acutorostrata","NHMSYS0000080192"
3,"Globicephala melas","NHMSYS0000080193"
3,"Grampus griseus","NHMSYS0000080194"
3,"Lagenorhynchus acutus","NHMSYS0000080195"
3,"Lagenorhynchus albirostris","NHMSYS0000080196"
5,"Kogia breviceps","NHMSYS0000080198"
1,"Capra hircus","NHMSYS0000080201"
3,"Ovis aries","NHMSYS0000080202"
3,"Capreolus capreolus","NHMSYS0000080203"
3,"Muntiacus reevesi","NHMSYS0000080204"
4,"Microtus agrestis","NHMSYS0000080207"
1,"Microtus arvalis","NHMSYS0000080208"
4,"Apodemus flavicollis","NHMSYS0000080209"
3,"Apodemus sylvaticus","NHMSYS0000080210"
3,"Micromys minutus","NHMSYS0000080211"
1,"Rattus norvegicus","NHMSYS0000080212"
3,"Rattus rattus","NHMSYS0000080213"
3,"Muscardinus avellanarius","NHMSYS0000080214"
3,"Glis glis","NHMSYS0000080215"
1,"Myocastor coypus","NHMSYS0000080217"
3,"Lepus europaeus","NHMSYS0000080218"
1,"Oryctolagus cuniculus","NHMSYS0000080219"
5,"Felis silvestris","NHMSYS0000332741"
1,"Sciurus carolinensis","NHMSYS0000332764"
3,"Eubalaena glacialis","NHMSYS0000376656"
5,"Mesoplodon densirostris","NHMSYS0000376912"
3,"Arvicola amphibius","NHMSYS0020546253"
4,"Myodes glareolus","NHMSYS0020755138"
3,"Neovison vison","NHMSYS0020774297"
5,"Pusa hispida","NHMSYS0021053568"
