start_day,start_month,start_year,end_day,end_month,end_year,taxon,tvk
1,5,2009,,,,Castor fiber,NBNSYS0000005107
1,1,1990,,,,Sus scrofa,NBNSYS0000005142
1,1,1800,,,,Cervus nippon,NBNSYS0000005144
1,1,1945,,,,Hydropotes inermis,NBNSYS0000005148
1,1,1952,,,,Rangifer tarandus,NBNSYS0000005183
1,1,1920,31,12,1937,Ondatra zibethicus,NBNSYS0000040193
1,1,1940,,,,Macropus rufogriseus,NHMSYS0000080171
1,1,1893,,,,Muntiacus reevesi,NHMSYS0000080204
1,1,1902,,,,Glis glis,NHMSYS0000080215
1,1,1929,31,12,1989,Myocastor coypus,NHMSYS0000080217
1,1,1876,,,,Sciurus carolinensis,NHMSYS0000332764
1,1,1929,,,,Neovison vison,NHMSYS0020774297
