code,taxon,tvk
6,,
1,Lutra lutra,NBNSYS0000005133
2,Phoca vitulina,NBNSYS0000005135
2,Halichoerus grypus,NBNSYS0000005137
1,Megaptera novaeangliae,NBNSYS0000005159
1,Balaenoptera physalus,NBNSYS0000005160
2,Balaenoptera borealis,NBNSYS0000005162
1,Balaenoptera musculus,NBNSYS0000005163
2,Hyperoodon ampullatus,NBNSYS0000005166
1,Ziphius cavirostris,NBNSYS0000005167
1,Mesoplodon bidens,NBNSYS0000005168
2,Mesoplodon mirus,NBNSYS0000005169
1,Phocoena phocoena,NBNSYS0000005172
1,Orcinus orca,NBNSYS0000005173
2,Pseudorca crassidens,NBNSYS0000005174
2,Tursiops truncatus,NBNSYS0000005179
2,Delphinus delphis,NBNSYS0000005181
3,Gammarus chevreuxi,NBNSYS0000013797
3,Gammarus insensibilis,NBNSYS0000013802
5,Edwardsia ivelli,NBNSYS0000022291
3,Nematostella vectensis,NBNSYS0000022292
3,Farrella repens,NBNSYS0000022322
2,Truncatella subcylindrica,NBNSYS0000022324
4,Armandia cirrhosa,NBNSYS0000022327
3,Gammarus tigrinus,NBNSYS0000033149
2,Eunicella verrucosa,NBNSYS0000040771
4,Thyasira gouldi,NBNSYS0000040773
2,Atrina fragilis,NBNSYS0000040786
1,Cetorhinus maximus,NBNSYS0000040787
3,Gobius gasteveni,NBNSYS0000040791
2,Hippocampus hippocampus,NBNSYS0000040792
3,Otina ovata,NBNSYS0000041447
1,Physeter macrocephalus,NBNSYS0000163066
1,Acanthocardia aculeata,NBNSYS0000173547
4,Achaeus cranchii,NBNSYS0000173566
3,Actinauge richardi,NBNSYS0000173599
1,Actinia equina,NBNSYS0000173601
1,Actinia fragacea,NBNSYS0000173602
2,Actinothoe sphyrodeta,NBNSYS0000173606
4,Adreus fascicularis,NBNSYS0000173612
2,Aeolidiella alderi,NBNSYS0000173622
3,Aeolidiella sanguinea,NBNSYS0000173624
2,Aglaophenia kirchenpaueri,NBNSYS0000173638
1,Alcyonium digitatum,NBNSYS0000173675
2,Amalosoma eddystonense,NBNSYS0000173699
3,Amathia pruvoti,NBNSYS0000173703
4,Ammodytes marinus,NBNSYS0000173710
2,Anthopleura thallia,NBNSYS0000173856
2,Arachnanthus sarsi,NBNSYS0000173918
2,Arctica islandica,NBNSYS0000173928
2,Asterina phylactica,NBNSYS0000174003
2,Atelecyclus rotundatus,NBNSYS0000174010
1,Aulactinia verrucosa,NBNSYS0000174044
3,Austrosyrrhoe fimbriatus,NBNSYS0000174049
2,Axinella damicornis,NBNSYS0000174066
6,Baldia johnstoni,NBNSYS0000174083
2,Barnea candida,NBNSYS0000174097
3,Bolocera tuediae,NBNSYS0000174160
1,Calliactis parasitica,NBNSYS0000174258
3,Callista chione,NBNSYS0000174280
4,Caloria elegans,NBNSYS0000174310
2,Calyptraea chinensis,NBNSYS0000174315
1,Cancer pagurus,NBNSYS0000174336
1,Carcinus maenas,NBNSYS0000174367
4,Cataphellia brodricii,NBNSYS0000174379
2,Cereus pedunculatus,NBNSYS0000174442
2,Cerianthus lloydii,NBNSYS0000174445
4,Cestopagurus timidus,NBNSYS0000174451
2,Clupea harengus,NBNSYS0000174637
3,Clymenella torquata,NBNSYS0000174640
3,Colomastix pusilla,NBNSYS0000174661
1,Corynactis viridis,NBNSYS0000174711
2,Coryphaenoides rupestris,NBNSYS0000174717
1,Corystes cassivelaunus,NBNSYS0000174726
2,Magallana gigas,NHMSYS0021185273
2,Crassostrea gigas,NBNSYS0000174740
1,Crepidula fornicata,NBNSYS0000174750
1,Cucumaria frondosa,NBNSYS0000174791
5,Cylindroporella tubulosa,NBNSYS0000174832
2,Diazona violacea,NBNSYS0000174927
5,Dikoleps cutleriana,NBNSYS0000174946
5,Diphasia alata,NBNSYS0000174960
5,Diphasia nigra,NBNSYS0000174964
1,Doris sticta,NBNSYS0000175003
2,Dromia personata,NBNSYS0000175034
4,Ebalia cranchii,NBNSYS0000175054
4,Ebalia tuberosa,NBNSYS0000175056
4,Ebalia tumefacta,NBNSYS0000175057
2,Edwardsia claparedii,NBNSYS0000175086
5,Edwardsia delapiae,NBNSYS0000175087
2,Edwardsiella carnea,NBNSYS0000175089
3,Epistomia bursaria,NBNSYS0000175165
3,Eriopisa elongata,NBNSYS0000175176
3,Euonyx chelatus,NBNSYS0000175273
4,Eurynome aspera,NBNSYS0000175287
4,Eurynome spinosa,NBNSYS0000175288
5,Eurypon clavatum,NBNSYS0000175290
6,Eusarsiella zostericola,NBNSYS0000175296
1,Ficopomatus enigmaticus,NBNSYS0000175337
2,Gadus morhua,NBNSYS0000175392
1,Glossus humanus,NBNSYS0000175477
3,Goneplax rhomboides,NBNSYS0000175513
6,Goniadella gracilis,NBNSYS0000175519
4,Haliclystus auricula s.lat.,NBNSYS0000175629
2,Hartlaubella gelatinosa,NBNSYS0000175703
4,Hormathia coronata,NBNSYS0000175807
3,Hormathia nodosa,NBNSYS0000175808
3,Hyas araneus,NBNSYS0000175822
4,Hydroides elegans,NBNSYS0000175833
2,Inachus dorsettensis,NBNSYS0000175872
5,Inachus leptochirus,NBNSYS0000175874
4,Inachus phalangium,NBNSYS0000175875
4,Jujubinus striatus,NBNSYS0000175947
3,Laomedea angulata,NBNSYS0000176010
3,Leptocheirus hirsutimanus,NBNSYS0000176068
3,Leptocheirus pectinatus,NBNSYS0000176069
6,Leptoclinides faeroensis,NBNSYS0000176076
3,Leucothoe procera,NBNSYS0000176122
3,Leucothoe spinicarpa,NBNSYS0000176123
3,Liljeborgia kinahani,NBNSYS0000176134
1,Liocarcinus corrugatus,NBNSYS0000176165
2,Liocarcinus depurator,NBNSYS0000176166
2,Liocarcinus holsatus,NBNSYS0000176167
3,Liocarcinus marmoreus,NBNSYS0000176168
