code,taxon,tvk
1,Rana temporaria,NBNSYS0000005060
2,Lacerta agilis,NBNSYS0000005070
2,Anguis fragilis,NBNSYS0000005072
2,Vipera berus,NBNSYS0000005075
1,Salamandra salamandra,NHMSYS0000080153
3,Triturus carnifex,NHMSYS0000080155
2,Triturus cristatus,NHMSYS0000080156
2,Bufo bufo,NHMSYS0000080159
2,Alytes obstetricans,NHMSYS0000080161
2,Bombina bombina,NHMSYS0000080162
2,Bombina variegata,NHMSYS0000080163
2,Hyla arborea,NHMSYS0000080165
5,Xenopus laevis,NHMSYS0000080166
3,Chrysemys picta,NHMSYS0000080224
3,Emys orbicularis,NHMSYS0000080225
3,Pond Slider,NHMSYS0000080227
2,Podarcis muralis,NHMSYS0000080229
3,Natrix tessellata,NHMSYS0000080232
2,Coronella austriaca,NHMSYS0000332360
5,Podarcis sicula,NHMSYS0000375719
2,Triturus marmoratus,NHMSYS0000376071
2,Zootoca vivipara,NHMSYS0001706186
4,Pelophylax lessonae,NHMSYS0020194823
2,Epidalea calamita,NHMSYS0020194825
3,Lissotriton vulgaris,NHMSYS0020194827
3,Lissotriton helveticus,NHMSYS0020194828
5,Lithobates catesbeianus,NHMSYS0020194859
4,Pelophylax ridibundus,NHMSYS0020194860
4,Pelophylax esculentus,NHMSYS0020194861
1,Lacerta bilineata,NHMSYS0020322402
3,Ichthyosaura alpestris,NHMSYS0020740241
3,Zamenis longissimus,NHMSYS0021109885
2,Natrix helvetica,NHMSYS0021178937
