taxon,tvk,start_day,start_month,start_year,end_day,end_month,end_year
Acer pseudoplatanus,NBNSYS0000003191,1,1,1632,,,
Aesculus hippocastanum,NBNSYS0000004580,1,1,1870,,,
Arum italicum subsp. italicum,NHMSYS0000456120,1,1,1870,,,
Buddleja davidii,NHMSYS0000456713,1,1,1922,,,
Crassula helmsii,NBNSYS0000004639,1,1,1956,,,
Epilobium brunnescens,NHMSYS0000458396,1,1,1904,,,
Fallopia japonica,NHMSYS0000458716,1,1,1886,,,
Heracleum mantegazzianum,NBNSYS0000003711,1,1,1828,,,
Hesperis matronalis,NBNSYS0000002902,1,1,1805,,,
Impatiens glandulifera,NBNSYS0000003189,1,1,1855,,,
Mimulus guttatus,NBNSYS0000004084,1,1,1824,,,
Myrrhis odorata,NBNSYS0000003645,1,1,1777,,,
Persicaria campanulata,NHMSYS0000461600,1,1,1933,,,
Rhododendron ponticum,NBNSYS0000003888,1,1,1894,,,
Senecio squalidus,NBNSYS0000004367,1,1,1794,,,
Veronica filiformis,NHMSYS0000464816,1,1,1838,,,
