start_day,start_month,end_day,end_month,stage,taxon,tvk
1,2,31,8,mature,Brachyptera putata,NBNSYS0000022413
1,2,31,7,mature,Brachyptera risi,NBNSYS0000022414
1,2,31,5,mature,Taeniopteryx nebulosa,NBNSYS0000022416
1,3,31,8,mature,Nemoura avicularis,NBNSYS0000022419
1,4,30,6,mature,Nemoura cambrica,NBNSYS0000022420
1,3,30,9,mature,Nemoura cinerea,NBNSYS0000022421
1,4,30,4,mature,Nemoura dubitans,NBNSYS0000022422
1,2,30,9,mature,Nemoura erratica,NBNSYS0000022423
1,2,30,6,mature,Protonemura meyeri,NBNSYS0000022425
1,8,30,9,mature,Protonemura montana,NBNSYS0000022426
1,2,31,5,mature,Protonemura praecox,NBNSYS0000022427
1,6,31,12,mature,Leuctra fusca,NBNSYS0000022428
1,8,30,11,mature,Leuctra geniculata,NBNSYS0000022429
1,7,31,8,mature,Leuctra moselyi,NBNSYS0000022432
1,4,31,8,mature,Leuctra nigra,NBNSYS0000022433
1,3,31,5,mature,Capnia atra,NBNSYS0000022434
1,3,30,4,mature,Isogenus nubecula,NBNSYS0000022438
1,4,31,8,mature,Isoperla grammatica,NBNSYS0000022439
1,5,30,6,mature,Isoperla obscura,NBNSYS0000022440
1,4,30,6,mature,Dinocras cephalotes,NBNSYS0000022442
1,4,30,6,mature,Perla bipunctata,NBNSYS0000022443
1,5,31,7,mature,Chloroperla tripunctata,NBNSYS0000022446
1,4,31,8,mature,Siphonoperla torrentium,NBNSYS0000156799
1,6,31,7,mature,Xanthoperla apicalis,NBNSYS0000159130
1,6,30,9,mature,Amphinemura standfussi,NHMSYS0020316239
1,4,30,9,mature,Amphinemura sulcicollis,NHMSYS0020316240
1,3,30,4,mature,Capnia vidua,NHMSYS0020316247
1,4,30,6,mature,Diura bicaudata,NHMSYS0020316254
1,2,30,6,mature,Leuctra hippopus,NHMSYS0020316259
1,4,31,8,mature,Leuctra inermis,NHMSYS0020316260
1,2,30,9,mature,Nemurella pictetii,NHMSYS0020316272
1,3,31,5,mature,Rhabdiopteryx acuminata,NHMSYS0020316291
1,2,31,5,mature,Zwicknia bifrons,NHMSYS0021167569
1,3,31,7,mature,Perlodes mortoni,NHMSYS0021168023
