taxon,tvk,km100,km10,coord_system
Perla bipunctata,NBNSYS0000022443,NH,60 61 62 70 71 72 80 81 82 90 91 92 94 95 96,OSGB
Perla bipunctata,NBNSYS0000022443,NJ,00 01 02 04 05 06 10 11 12 14 15 16 20 30 40 50,OSGB
Perla bipunctata,NBNSYS0000022443,NN,20 21 30 31 40 41 79 89 97 98 99,OSGB
Perla bipunctata,NBNSYS0000022443,NO,01 02 03 06 07 08 09 11 12 13 16 17 18 19 21 22 23 26 27 28 29 37 38 39 47 48 49 55 56 57 58 59 65 66 67 75 76 77,OSGB
Perla bipunctata,NBNSYS0000022443,NS,29 39 49 67 68 69 77 78 79 80 81 82 83 87 88 89 90 91 92 93,OSGB
Perla bipunctata,NBNSYS0000022443,NT,00 01 02 03 12 13 14 22 23 24 32 33 34 42 43 44 52 53 54 62 63 64 66 67 68 76 77 86 87,OSGB
Perla bipunctata,NBNSYS0000022443,NY,00 01 02 10 11 12 13 20 21 22 23 30 31 32 33 40 41 42 43 44 45 46 50 51 52 54 55 56 60 61 62 63 64 65 66 70 71 72 73 74 80 81 82 83 84 90 91 92 93,OSGB
Perla bipunctata,NBNSYS0000022443,NZ,00 01 02 03 10,OSGB
Perla bipunctata,NBNSYS0000022443,SD,08 09 17 18 19 27 28 29 37 38 39 47 48 49 57 58 59 64 65 66 69 74 75 76 79 84 85 86 89 94 95 96 97 98 99,OSGB
Perla bipunctata,NBNSYS0000022443,SE,04 05 06 07 08 09 14 15 16 17 18 19,OSGB
Perla bipunctata,NBNSYS0000022443,SH,80 81 82 90 91 92 93,OSGB
Perla bipunctata,NBNSYS0000022443,SJ,00 01 02 03 10 11 12 13 20 21 22 23 30 31 32 33 40 50,OSGB
Perla bipunctata,NBNSYS0000022443,SK,07 08 09 17 18 19 27 28 29,OSGB
Perla bipunctata,NBNSYS0000022443,SN,43 44 45 53 54 55 56 62 63 64 65 66 70 72 73 74 75 76 80 82 83 84 85 87 88 89 90 92 93 94 97 98 99,OSGB
Perla bipunctata,NBNSYS0000022443,SO,07 08 09 16 17 18 19 26 27 28 29 36 37 38 39 46 47 48 49 57 58 59 91 92 93,OSGB
Perla bipunctata,NBNSYS0000022443,SP,01 02 03 11 12 13,OSGB
Perla bipunctata,NBNSYS0000022443,SS,30 31 32 40 41 42 50 51 52 63 64 73 74 75 78 79 80 81 83 84 88 89 90 91 98 99,OSGB
Perla bipunctata,NBNSYS0000022443,ST,00 01,OSGB
Perla bipunctata,NBNSYS0000022443,SX,88 89 98 99,OSGB
Perla bipunctata,NBNSYS0000022443,SY,08 09,OSGB
Nemoura cinerea,NBNSYS0000022421,NC,02 03 12 13 14 22 23 24 32 33 34,OSGB
Nemoura cinerea,NBNSYS0000022421,NH,21 22 23 31 32 33 34 40 41 42 43 44 50 51 52 53 54 60 61 62 70 80 81 82 90 91 92,OSGB
Nemoura cinerea,NBNSYS0000022421,NJ,00 01 02,OSGB
Nemoura cinerea,NBNSYS0000022421,NN,20 21 22 25 26 27 30 31 32 35 36 37 40 41 42 44 45 46 47 48 54 55 56 57 58 64 65 66 67 68 69 78 79 88 89 93 94 95,OSGB
Nemoura cinerea,NBNSYS0000022421,NO,00 03 04 05 06 07 08 09 10 13 14 15 16 17 18 19 20 26 27 28 29,OSGB
Nemoura cinerea,NBNSYS0000022421,NS,30 37 38 39 40 47 48 49 50 51 52 53 57 58 59 61 62 63 71 72 73 75 76 77 78 79 80 81 82 85 86 87 88 89 90 91 92 95 96 97 98 99,OSGB
Nemoura cinerea,NBNSYS0000022421,NT,00 01 02 07 08 09 17 18 19 27 28 29 34 35 36 44 45 46 54 55 56,OSGB
Nemoura cinerea,NBNSYS0000022421,NX,25 26 27 28 35 36 37 38 39 45 46 47 48 49 57 58 59,OSGB
Nemoura cinerea,NBNSYS0000022421,NY,00 01 02 10 11 12 20 21 22 30 31 40 41 42 43 50 51 52 53 56 57 58 60 61 62 63 66 67 68 70 71 76 77 78 80 81 90 91,OSGB
Nemoura cinerea,NBNSYS0000022421,NZ,33 34 35 43 44 45 53 70 71 80 81 90 91,OSGB
Nemoura cinerea,NBNSYS0000022421,SD,08 09 17 18 19 27 28 29 33 34 35 38 39 43 44 45 53 54 55 56 64 65 66 67 72 73 74 75 76 77 78 79 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Nemoura cinerea,NBNSYS0000022421,SE,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26 27 28 29 30 31 51 52 53 61 62 63 66 67 68 71 72 73 76 77 78 79 80 81 86 87 88 89 90 91 98 99,OSGB
Nemoura cinerea,NBNSYS0000022421,SH,80 81 82 90 91 92 93 94 96 97 98,OSGB
Nemoura cinerea,NBNSYS0000022421,SJ,00 01 02 03 04 06 07 08 11 12 13 14 16 17 18 21 22 23 30 31 32 33 40 50,OSGB
Nemoura cinerea,NBNSYS0000022421,SK,09 15 16 17 18 19 25 26 27 28 29 30 31 35 36 37 38 39 40 41 50 51 61 62 63 70 71 72 73 80 81 82 83 89 90 91 97 98 99,OSGB
Nemoura cinerea,NBNSYS0000022421,SO,23 24 25 33 34 35 38 39 43 44 45 48 49 58 59 66 67 68 76 77 78 86 87 88 90 91 92 93 96 97 98,OSGB
Nemoura cinerea,NBNSYS0000022421,SP,00 01 02 03 06 07 08 10 11 12 13 16 17 18 20 21 22 23 26 27 28 30 31 32 33 38 39 48 49 55 56 57 58 59 61 62 63 65 66 67 71 72 73 75 76 77 79 80 81 82 83 89 90 91 92 93 99,OSGB
Nemoura cinerea,NBNSYS0000022421,SS,40 41 50 51 60 61 90,OSGB
Nemoura cinerea,NBNSYS0000022421,ST,00 10 20 21 30 31 40 41 98 99,OSGB
Nemoura cinerea,NBNSYS0000022421,SU,02 03 04 08 09 12 13 14 18 19 20 21 22 23 24 29 30 31 33 34 35 39 40 41 42 43 44 45 46 47 50 51 52 53 54 55 56 57 60 61 62 63 64 65 66 67 70 71 72 73 74 75 76 77 80 81 82 83 84 85 86 88 89 90 91 92 93 94 95 98 99,OSGB
Nemoura cinerea,NBNSYS0000022421,SX,06 07 08 16 17 18 26 27 28 49 59 69 98 99,OSGB
Nemoura cinerea,NBNSYS0000022421,SY,08 09 18 19 29 39 49,OSGB
Nemoura cinerea,NBNSYS0000022421,SZ,29 39 49 59 69 79 89 99,OSGB
Nemoura cinerea,NBNSYS0000022421,TA,00 01 02 03 04 10 11 12 13 14 20 21 22 23 24 30 31 40 41,OSGB
Nemoura cinerea,NBNSYS0000022421,TF,00 01 07 08 09 15 16 17 18 19 25 26 27 28 29 35 36 37 38 39 49 60 61 70 71 80 81 90 91 92 93 94,OSGB
Nemoura cinerea,NBNSYS0000022421,TG,00 02 03 04 10 12 13 14 30 31 32 40 41 42 50 51,OSGB
