"start_day","start_month","start_year","end_day","end_month","end_year","taxon","tvk"
1,1,1800,,,,"Buckleria paludum","NBNSYS0000027027"
1,1,1800,,,,"Agdistis meridionalis","NBNSYS0100001387"
1,1,1800,,,,"Hellinsia chrysocomae","NBNSYS0100003432"
1,1,1800,,,,"Hellinsia osteodactylus","NBNSYS0100003433"
1,1,1800,,,,"Merrifieldia baliodactylus","NBNSYS0100004009"
1,1,1800,,,,"Merrifieldia leucodactyla","NBNSYS0100004010"
1,1,1800,,,,"Merrifieldia tridactyla","NBNSYS0100004011"
1,1,1800,,,,"Stenoptilia islandicus","NBNSYS0100005592"
1,1,1800,,,,"Agdistis bennetii","NHMSYS0000501029"
1,1,1800,,,,"Alucita hexadactyla","NHMSYS0000501204"
1,1,1800,,,,"Amblyptilia punctidactyla","NHMSYS0000501211"
1,1,1800,,,,"Emmelina monodactyla","NHMSYS0000502352"
1,1,1800,,,,"Marasmarcha lunaedactyla","NHMSYS0000503165"
1,1,1800,,,,"Oidaematophorus lithodactyla","NHMSYS0000503464"
1,1,1800,,,,"Oxyptilus distans","NHMSYS0000503531"
1,1,1800,,,,"Oxyptilus laetus","NHMSYS0000503532"
1,1,1800,,,,"Oxyptilus pilosellae","NHMSYS0000503534"
1,1,1800,,,,"Platyptilia isodactylus","NHMSYS0000503853"
1,1,1800,,,,"Pselnophorus heterodactyla","NHMSYS0000503933"
1,1,1800,,,,"Pterophorus pentadactyla","NHMSYS0000503972"
1,1,1800,,,,"Stenoptilia bipunctidactyla","NHMSYS0000504309"
1,1,1800,,,,"Stenoptilia gallobritannidactyla","NHMSYS0000504310"
1,1,1800,,,,"Stenoptilia pneumonanthes","NHMSYS0000504313"
1,1,1800,,,,"Stenoptilia pterodactyla","NHMSYS0000504314"
1,1,1800,,,,"Stenoptilia scabiodactylus","NHMSYS0000504316"
1,1,1800,,,,"Stenoptilia zophodactylus","NHMSYS0000504317"
1,1,1800,,,,"Stenoptilia annadactyla","NHMSYS0020547811"
1,1,1800,,,,"Emmelina argoteles","NHMSYS0020732915"
1,1,1800,,,,"Platyptilia gonodactyla","NHMSYS0021142889"
1,1,1800,,,,"Platyptilia calodactyla","NHMSYS0021142891"
1,1,1800,,,,"Gillmeria pallidactyla","NHMSYS0021142897"
1,1,1800,,,,"Gillmeria ochrodactyla","NHMSYS0021142899"
1,1,1800,,,,"Amblyptilia acanthadactyla","NHMSYS0021142903"
1,1,1969,,,,"Stenoptilia millieridactyla","NHMSYS0021142918"
1,1,1800,,,,"Cnaemidophorus rhododactyla","NHMSYS0021142921"
1,1,1800,,,,"Oxyptilus parvidactyla","NHMSYS0021142925"
1,1,1800,,,,"Capperia britanniodactylus","NHMSYS0021142927"
1,1,1800,,,,"Porrittia galactodactyla","NHMSYS0021142934"
1,1,1800,,,,"Wheeleria spilodactylus","NHMSYS0021142946"
1,1,1800,,,,"Hellinsia tephradactyla","NHMSYS0021142949"
1,1,1900,,,,"Hellinsia carphodactyla","NHMSYS0021142950"
1,1,1800,,,,"Hellinsia lienigianus","NHMSYS0021142951"
1,1,1800,,,,"Adaina microdactyla","NHMSYS0021142957"
