"start_day","start_month","end_day","end_month","stage","taxon","tvk"
1,5,30,9,"mature","Buckleria paludum","NBNSYS0000027027"
1,4,30,9,"mature","Agdistis meridionalis","NBNSYS0100001387"
1,6,30,9,"mature","Hellinsia chrysocomae","NBNSYS0100003432"
1,6,30,9,"mature","Hellinsia osteodactylus","NBNSYS0100003433"
1,6,31,8,"mature","Merrifieldia baliodactylus","NBNSYS0100004009"
1,5,30,9,"mature","Merrifieldia leucodactyla","NBNSYS0100004010"
1,5,30,9,"mature","Merrifieldia tridactyla","NBNSYS0100004011"
1,6,31,7,"mature","Stenoptilia islandicus","NBNSYS0100005592"
1,5,30,9,"mature","Agdistis bennetii","NHMSYS0000501029"
1,5,31,8,"mature","Marasmarcha lunaedactyla","NHMSYS0000503165"
1,6,30,9,"mature","Oidaematophorus lithodactyla","NHMSYS0000503464"
1,5,30,9,"mature","Oxyptilus distans","NHMSYS0000503531"
1,5,31,10,"mature","Oxyptilus laetus","NHMSYS0000503532"
1,7,31,8,"mature","Oxyptilus pilosellae","NHMSYS0000503534"
1,5,30,9,"mature","Platyptilia isodactylus","NHMSYS0000503853"
1,6,31,7,"mature","Pselnophorus heterodactyla","NHMSYS0000503933"
1,5,31,8,"mature","Pterophorus pentadactyla","NHMSYS0000503972"
1,5,30,9,"mature","Stenoptilia bipunctidactyla","NHMSYS0000504309"
1,6,31,7,"mature","Stenoptilia gallobritannidactyla","NHMSYS0000504310"
1,5,30,9,"mature","Stenoptilia pterodactyla","NHMSYS0000504314"
1,5,31,8,"mature","Stenoptilia scabiodactylus","NHMSYS0000504316"
1,5,30,11,"mature","Stenoptilia zophodactylus","NHMSYS0000504317"
1,6,31,8,"mature","Stenoptilia annadactyla","NHMSYS0020547811"
1,5,31,10,"mature","Platyptilia gonodactyla","NHMSYS0021142889"
1,6,31,8,"mature","Platyptilia calodactyla","NHMSYS0021142891"
1,5,31,8,"mature","Gillmeria pallidactyla","NHMSYS0021142897"
1,6,31,8,"mature","Gillmeria ochrodactyla","NHMSYS0021142899"
1,5,30,9,"mature","Stenoptilia millieridactyla","NHMSYS0021142918"
1,6,31,8,"mature","Cnaemidophorus rhododactyla","NHMSYS0021142921"
1,5,31,8,"mature","Oxyptilus parvidactyla","NHMSYS0021142925"
1,6,31,8,"mature","Capperia britanniodactylus","NHMSYS0021142927"
1,5,31,7,"mature","Porrittia galactodactyla","NHMSYS0021142934"
1,6,31,8,"mature","Wheeleria spilodactylus","NHMSYS0021142946"
1,5,31,8,"mature","Hellinsia tephradactyla","NHMSYS0021142949"
1,5,30,9,"mature","Hellinsia carphodactyla","NHMSYS0021142950"
1,6,31,8,"mature","Hellinsia lienigianus","NHMSYS0021142951"
1,4,30,9,"mature","Adaina microdactyla","NHMSYS0021142957"
