"start_day","start_month","end_day","end_month","stage","taxon","tvk"
1,4,30,9,"mature","Beris chalybata","NBNSYS0000007795"
1,5,30,6,"mature","Beris clavipes","NBNSYS0000007796"
1,5,30,9,"mature","Beris fuscipes","NBNSYS0000007797"
1,5,30,9,"mature","Beris morrisii","NBNSYS0000007799"
1,5,30,9,"mature","Beris vallata","NBNSYS0000007800"
1,5,30,9,"mature","Chorisops tibialis","NBNSYS0000007802"
1,5,31,8,"mature","Nemotelus nigrinus","NBNSYS0000007804"
1,5,31,8,"mature","Nemotelus notatus","NBNSYS0000007805"
1,6,31,8,"mature","Nemotelus pantherinus","NBNSYS0000007806"
1,6,30,9,"mature","Nemotelus uliginosus","NBNSYS0000007807"
1,5,31,7,"mature","Oxycera analis","NBNSYS0000007808"
1,6,31,7,"mature","Oxycera dives","NBNSYS0000007809"
1,7,31,8,"mature","Oxycera fallenii","NBNSYS0000007810"
1,6,31,7,"mature","Oxycera leonina","NBNSYS0000007812"
1,6,31,8,"mature","Oxycera morrisii","NBNSYS0000007813"
1,6,31,8,"mature","Oxycera pardalina","NBNSYS0000007814"
1,5,31,8,"mature","Oxycera pygmaea","NBNSYS0000007815"
1,5,31,8,"mature","Oxycera rara","NBNSYS0000007816"
1,6,31,7,"mature","Oxycera terminata","NBNSYS0000007817"
1,6,30,9,"mature","Oxycera trilineata","NBNSYS0000007818"
1,5,31,8,"mature","Vanoyia tenuicornis","NBNSYS0000007819"
1,5,31,8,"mature","Pachygaster atra","NBNSYS0000007820"
1,5,31,7,"mature","Eupachygaster tarsalis","NBNSYS0000007824"
1,5,31,8,"mature","Chloromyia formosa","NBNSYS0000007825"
1,5,30,9,"mature","Microchrysa cyaneiventris","NBNSYS0000007826"
1,5,30,9,"mature","Microchrysa flavicornis","NBNSYS0000007827"
1,3,31,10,"mature","Microchrysa polita","NBNSYS0000007828"
1,7,30,11,"mature","Sargus bipunctatus","NBNSYS0000007829"
1,6,30,9,"mature","Sargus cuprarius","NBNSYS0000007830"
1,5,30,9,"mature","Sargus iridatus","NBNSYS0000007831"
1,5,31,10,"mature","Sargus flavipes","NBNSYS0000007832"
1,6,31,8,"mature","Odontomyia angulata","NBNSYS0000007833"
1,4,30,6,"mature","Odontomyia argentata","NBNSYS0000007834"
1,7,31,7,"mature","Odontomyia hydroleon","NBNSYS0000007835"
1,5,30,6,"mature","Odontomyia tigrina","NBNSYS0000007837"
1,5,31,8,"mature","Oplodontha viridula","NBNSYS0000007838"
1,6,30,9,"mature","Stratiomys chamaeleon","NBNSYS0000007839"
1,5,30,9,"mature","Stratiomys singularior","NBNSYS0000007840"
1,5,31,7,"mature","Stratiomys longicornis","NBNSYS0000007841"
1,5,30,9,"mature","Stratiomys potamida","NBNSYS0000007842"
1,5,31,8,"mature","Solva marginata","NBNSYS0000007844"
1,5,30,6,"mature","Solva varia","NBNSYS0000007845"
1,5,30,6,"mature","Xylophagus ater","NBNSYS0000007846"
1,6,31,8,"mature","Xylophagus cinctus","NBNSYS0000007847"
1,6,30,6,"mature","Xylophagus junki","NBNSYS0000007848"
1,5,31,8,"mature","Chrysopilus cristatus","NBNSYS0000007850"
1,6,31,8,"mature","Chrysopilus erythrophthalmus","NBNSYS0000007851"
1,7,31,7,"mature","Chrysopilus laetus","NBNSYS0000007852"
1,5,31,7,"mature","Ptiolina obscura","NBNSYS0000007854"
1,5,31,8,"mature","Spania nigra","NBNSYS0000007855"
1,5,31,8,"mature","Symphoromyia immaculata","NBNSYS0000007857"
1,5,31,7,"mature","Atherix ibis","NBNSYS0000007858"
1,6,31,7,"mature","Atrichops crassipes","NBNSYS0000007860"
1,5,30,6,"mature","Rhagio annulatus","NBNSYS0000007861"
1,5,30,9,"mature","Rhagio lineola","NBNSYS0000007862"
1,5,31,7,"mature","Rhagio notatus","NBNSYS0000007863"
1,6,31,8,"mature","Rhagio strigosus","NBNSYS0000007865"
