taxon,tvk,km100,km10,coord_system
Machimus cowini,NBNSYS0100003862,NX,40,OSGB
Machimus cowini,NBNSYS0100003862,SD,37 47 48,OSGB
Nemotelus notatus,NBNSYS0000007805,NH,64 65 74 75 78 85 88 89 95 96,OSGB
Nemotelus notatus,NBNSYS0000007805,NJ,05 06 16 25 26 35 36 46,OSGB
Nemotelus notatus,NBNSYS0000007805,NS,98,OSGB
Nemotelus notatus,NBNSYS0000007805,NT,07 08,OSGB
Nemotelus notatus,NBNSYS0000007805,NU,04 05 13 14 20 21 22 23,OSGB
Nemotelus notatus,NBNSYS0000007805,NW,95,OSGB
Nemotelus notatus,NBNSYS0000007805,NX,04 06 13 15 25 34 40 43 44 45 46 54 55 64 65 74 84 85 86 90 91 92 93 95 96,OSGB
Nemotelus notatus,NBNSYS0000007805,NY,00 04 05 06 15 16 17 26,OSGB
Nemotelus notatus,NBNSYS0000007805,NZ,29 37 38 52 53 72,OSGB
Nemotelus notatus,NBNSYS0000007805,SC,16 26 27 37 39 47 48 49,OSGB
Nemotelus notatus,NBNSYS0000007805,SD,08 09 16 17 18 19 20 26 27 28 30 31 32 33 34 35 36 37 38 41 42 43 44 45 46 47 48 57,OSGB
Nemotelus notatus,NBNSYS0000007805,SH,12 13 22 23 24 27 28 29 32 33 36 37 38 39 43 45 46 47 48 49 50 51 52 53 56 57 58 61 63 67 68 76 77 78 87 88 97 98,OSGB
Nemotelus notatus,NBNSYS0000007805,SJ,07 08 18 27 28 29 36 37 38 39 46 47 48 56 57 58 59 65 67 68 76 78 87,OSGB
Nemotelus notatus,NBNSYS0000007805,SK,58 59,OSGB
Nemotelus notatus,NBNSYS0000007805,SM,80 90 91,OSGB
Nemotelus notatus,NBNSYS0000007805,SN,00 01 10 11 20 21 30 31 40 41 50 51 58 59 68 69,OSGB
Nemotelus notatus,NBNSYS0000007805,SR,99,OSGB
Nemotelus notatus,NBNSYS0000007805,SS,19 38 39 42 43 44 48 49 53 54 58 59 68 69 75 77 78 79 84 87 88 96,OSGB
Nemotelus notatus,NBNSYS0000007805,ST,06 16 17 24 25 26 27 28 34 35 36 37 38 47 48 57 58 69,OSGB
Nemotelus notatus,NBNSYS0000007805,SU,10 20 30 31 40 50 60 70 80,OSGB
Nemotelus notatus,NBNSYS0000007805,SX,73 84 87 95 97 98,OSGB
Nemotelus notatus,NBNSYS0000007805,SY,08 48 66 67 68 77 87 98,OSGB
Nemotelus notatus,NBNSYS0000007805,SZ,08 09 19 28 29 38 39 47 48 49 57 59 68 69 79 89 99,OSGB
Nemotelus notatus,NBNSYS0000007805,TA,02 11 12 15 21 22 23 24 30 31 32 33 40 41,OSGB
Nemotelus notatus,NBNSYS0000007805,TF,23 33 34 41 42 43 44 45 48 49 51 52 55 56 57 58 63 64 73 74 84 94,OSGB
Nemotelus notatus,NBNSYS0000007805,TG,04 24 33 50 51,OSGB
Nemotelus notatus,NBNSYS0000007805,TL,80 90 91 92,OSGB
Nemotelus notatus,NBNSYS0000007805,TM,00 01 02 03 11 12 13 14 21 22 23 24 33 34 35 44 45 46 47 57 58,OSGB
Nemotelus notatus,NBNSYS0000007805,TQ,00 48 57 58 67 68 76 77 78 79 80 86 87 88 89 91 96 97 98 99,OSGB
Nemotelus notatus,NBNSYS0000007805,TR,01 02 06 07 09 12 16 23 26 27 33 34 35 36 37 46 47,OSGB
Nemotelus notatus,NBNSYS0000007805,TV,49 69,OSGB
Dioctria rufipes,NBNSYS0000007919,NH,94,OSGB
Dioctria rufipes,NBNSYS0000007919,NJ,02 03 04 05 12 13 14 15 24 45,OSGB
Dioctria rufipes,NBNSYS0000007919,NN,72 74 75 81 82 84 86 91 94 95 96,OSGB
Dioctria rufipes,NBNSYS0000007919,NO,01 02 03 04 06 11 12 13 14 15 16 23 24 25 35 39,OSGB
Dioctria rufipes,NBNSYS0000007919,NT,13 14 15 23 24 25 32 33 40 43 44 45 46 54 55 61 62 63 64 65 66 71 72 74 75 76 84 85 86,OSGB
Dioctria rufipes,NBNSYS0000007919,NX,85 92 93 95 96 97,OSGB
Dioctria rufipes,NBNSYS0000007919,NY,02 03 04 05 06 11 13 14 15 16 20 23 24 25 26 31 32 33 34 35 36 37 41 42 43 44 45 46 47 48 51 52 53 54 55 56 57 60 61 62 63 66 67 70 71 76 81 86,OSGB
Dioctria rufipes,NBNSYS0000007919,SD,16 20 21 26 30 31 32 33 34 36 40 41 42 43 44 45 46 49 50 59 68 69 77 80 91 92 98 99,OSGB
Dioctria rufipes,NBNSYS0000007919,SE,00 01 02 03 07 10 11 12 13 14 16 17 20 21 22 23 24 25 26 27 30 31 32 33 34 35 36 40 41 42 43 44 50 51 52 53 54 55 56 57 60 61 62 63 64 65 66 67 70 71 73 74 75 76 77 80 81 83 84 85 86 87 88 90 91 92 93 94 95 96 97 98,OSGB
Dioctria rufipes,NBNSYS0000007919,SH,27 29 37 39 88 97 98,OSGB
Dioctria rufipes,NBNSYS0000007919,SJ,06 07 08 10 17 18 20 21 22 25 26 27 28 29 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 80 81 82 83 84 85 86 87 90 91 92 93 94 95,OSGB
Dioctria rufipes,NBNSYS0000007919,SK,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 75 76 77 78 79 80 81 83 86 87 88 89 90 91 92 93 98 99,OSGB
Dioctria rufipes,NBNSYS0000007919,SM,50 62 71 72 73 80 84 90 94,OSGB
