"code","taxon","tvk"
2,"Atypus affinis","NBNSYS0000008608"
3,"Amaurobius fenestralis","NBNSYS0000008610"
3,"Amaurobius similis","NBNSYS0000008611"
3,"Amaurobius ferox","NBNSYS0000008612"
3,"Dictyna arundinacea","NBNSYS0000008613"
4,"Dictyna pusilla","NBNSYS0000008614"
5,"Dictyna major","NBNSYS0000008615"
3,"Dictyna uncinata","NBNSYS0000008616"
3,"Nigma puella","NBNSYS0000008618"
3,"Nigma walckenaeri","NBNSYS0000008620"
3,"Lathys humilis","NBNSYS0000008621"
4,"Lathys stigmatisata","NBNSYS0000008623"
4,"Argenna subnigra","NBNSYS0000008624"
4,"Argenna patula","NBNSYS0000008625"
4,"Altella lucida","NBNSYS0000008626"
3,"Uloborus walckenaerius","NBNSYS0000008627"
3,"Hyptiotes paradoxus","NBNSYS0000008628"
3,"Oonops pulcher","NBNSYS0000008629"
3,"Oonops domesticus","NBNSYS0000008630"
3,"Dysdera erythrina","NBNSYS0000008631"
3,"Dysdera crocata","NBNSYS0000008632"
3,"Harpactea hombergi","NBNSYS0000008633"
3,"Segestria senoculata","NBNSYS0000008635"
3,"Segestria bavarica","NBNSYS0000008636"
3,"Segestria florentina","NBNSYS0000008637"
2,"Scytodes thoracica","NBNSYS0000008638"
2,"Pholcus phalangioides","NBNSYS0000008639"
3,"Psilochorus simoni","NBNSYS0000008640"
4,"Zodarion italicum","NBNSYS0000008641"
3,"Drassodes lapidosus","NBNSYS0000008642"
3,"Drassodes cupreus","NBNSYS0000008643"
3,"Drassodes pubescens","NBNSYS0000008644"
3,"Haplodrassus signifer","NBNSYS0000008645"
3,"Haplodrassus dalmatensis","NBNSYS0000008646"
4,"Haplodrassus umbratilis","NBNSYS0000008647"
4,"Haplodrassus soerenseni","NBNSYS0000008648"
3,"Haplodrassus silvestris","NBNSYS0000008649"
3,"Haplodrassus minor","NBNSYS0000008650"
3,"Scotophaeus blackwalli","NBNSYS0000008651"
4,"Scotophaeus scutulatus","NBNSYS0000008652"
3,"Phaeocedus braccatus","NBNSYS0000008653"
3,"Zelotes electus","NBNSYS0000008654"
3,"Zelotes latreillei","NBNSYS0000008655"
4,"Zelotes longipes","NBNSYS0000008657"
3,"Zelotes petrensis","NBNSYS0000008658"
4,"Zelotes subterraneus","NBNSYS0000008659"
3,"Trachyzelotes pedestris","NBNSYS0000008660"
4,"Urozelotes rusticus","NBNSYS0000008661"
3,"Drassyllus lutetianus","NBNSYS0000008662"
3,"Drassyllus pusillus","NBNSYS0000008663"
3,"Drassyllus praeficus","NBNSYS0000008664"
3,"Gnaphosa lugubris","NBNSYS0000008665"
4,"Gnaphosa occidentalis","NBNSYS0000008666"
3,"Gnaphosa leporina","NBNSYS0000008667"
4,"Callilepis nocturna","NBNSYS0000008668"
4,"Micaria alpina","NBNSYS0000008671"
3,"Micaria subopaca","NBNSYS0000008672"
3,"Micaria silesiaca","NBNSYS0000008673"
3,"Clubiona corticalis","NBNSYS0000008674"
3,"Clubiona reclusa","NBNSYS0000008675"
4,"Clubiona subsultans","NBNSYS0000008676"
3,"Clubiona stagnatilis","NBNSYS0000008677"
5,"Clubiona rosserae","NBNSYS0000008678"
3,"Clubiona norvegica","NBNSYS0000008679"
3,"Clubiona caerulescens","NBNSYS0000008680"
3,"Clubiona pallidula","NBNSYS0000008681"
3,"Clubiona phragmitis","NBNSYS0000008682"
3,"Clubiona terrestris","NBNSYS0000008683"
3,"Clubiona lutescens","NBNSYS0000008686"
3,"Clubiona comta","NBNSYS0000008687"
3,"Clubiona brevipes","NBNSYS0000008688"
3,"Clubiona trivialis","NBNSYS0000008689"
3,"Clubiona juvenis","NBNSYS0000008690"
3,"Clubiona diversa","NBNSYS0000008692"
3,"Clubiona subtilis","NBNSYS0000008693"
3,"Cheiracanthium erraticum","NBNSYS0000008694"
4,"Cheiracanthium pennyi","NBNSYS0000008695"
3,"Cheiracanthium virescens","NBNSYS0000008696"
3,"Phrurolithus festivus","NBNSYS0000008697"
3,"Phrurolithus minimus","NBNSYS0000008698"
3,"Agroeca brunnea","NBNSYS0000008699"
3,"Agroeca proxima","NBNSYS0000008700"
3,"Agroeca inopina","NBNSYS0000008701"
4,"Agroeca lusatica","NBNSYS0000008702"
4,"Agroeca cuprea","NBNSYS0000008703"
4,"Apostenus fuscus","NBNSYS0000008705"
3,"Scotina celans","NBNSYS0000008706"
3,"Scotina gracilipes","NBNSYS0000008707"
3,"Liocranum rupicola","NBNSYS0000008709"
3,"Zora spinimana","NBNSYS0000008710"
4,"Zora armillata","NBNSYS0000008711"
3,"Zora nemoralis","NBNSYS0000008712"
4,"Zora silvestris","NBNSYS0000008713"
2,"Anyphaena accentuata","NBNSYS0000008714"
2,"Micrommata virescens","NBNSYS0000008715"
3,"Thomisus onustus","NBNSYS0000008716"
2,"Diaea dorsata","NBNSYS0000008717"
2,"Misumena vatia","NBNSYS0000008718"
5,"Pistius truncatus","NBNSYS0000008719"
3,"Xysticus cristatus","NBNSYS0000008720"
3,"Xysticus audax","NBNSYS0000008721"
3,"Xysticus kochi","NBNSYS0000008722"
3,"Xysticus erraticus","NBNSYS0000008723"
3,"Xysticus lanio","NBNSYS0000008724"
3,"Xysticus ulmi","NBNSYS0000008725"
3,"Xysticus bifasciatus","NBNSYS0000008726"
4,"Xysticus luctator","NBNSYS0000008727"
3,"Xysticus sabulosus","NBNSYS0000008728"
4,"Xysticus luctuosus","NBNSYS0000008729"
4,"Xysticus acerbus","NBNSYS0000008730"
4,"Ozyptila scabricula","NBNSYS0000008733"
3,"Ozyptila sanctuaria","NBNSYS0000008735"
3,"Ozyptila praticola","NBNSYS0000008736"
3,"Ozyptila trux","NBNSYS0000008737"
3,"Ozyptila simplex","NBNSYS0000008738"
3,"Ozyptila atomaria","NBNSYS0000008739"
3,"Ozyptila brevipes","NBNSYS0000008740"
3,"Philodromus dispar","NBNSYS0000008741"
3,"Philodromus aureolus","NBNSYS0000008742"
4,"Philodromus praedatus","NBNSYS0000008743"
3,"Philodromus cespitum","NBNSYS0000008744"
3,"Philodromus collinus","NBNSYS0000008746"
3,"Philodromus emarginatus","NBNSYS0000008749"
3,"Philodromus albidus","NBNSYS0000008750"
3,"Philodromus margaritatus","NBNSYS0000008751"
3,"Thanatus striatus","NBNSYS0000008752"
5,"Thanatus formicinus","NBNSYS0000008753"
3,"Tibellus maritimus","NBNSYS0000008754"
3,"Tibellus oblongus","NBNSYS0000008755"
3,"Salticus scenicus","NBNSYS0000008756"
4,"Salticus zebraneus","NBNSYS0000008759"
3,"Heliophanus cupreus","NBNSYS0000008760"
3,"Heliophanus flavipes","NBNSYS0000008761"
4,"Heliophanus auratus","NBNSYS0000008762"
3,"Marpissa muscosa","NBNSYS0000008764"
3,"Marpissa radiata","NBNSYS0000008765"
3,"Marpissa nivoyi","NBNSYS0000008766"
3,"Ballus chalybeius","NBNSYS0000008768"
3,"Neon reticulatus","NBNSYS0000008769"
4,"Neon valentulus","NBNSYS0000008770"
3,"Euophrys frontalis","NBNSYS0000008771"
4,"Euophrys herbigrada","NBNSYS0000008772"
3,"Euophrys petrensis","NBNSYS0000008773"
3,"Evarcha falcata","NBNSYS0000008783"
3,"Evarcha arcuata","NBNSYS0000008784"
4,"Phlegra fasciata","NBNSYS0000008786"
3,"Synageles venator","NBNSYS0000008787"
3,"Myrmarachne formicaria","NBNSYS0000008788"
4,"Pellenes tripunctatus","NBNSYS0000008790"
3,"Oxyopes heterophthalmus","NBNSYS0000008791"
4,"Pardosa agricola","NBNSYS0000008792"
3,"Pardosa agrestis","NBNSYS0000008794"
4,"Pardosa purbeckensis","NBNSYS0000008795"
3,"Pardosa monticola","NBNSYS0000008796"
3,"Pardosa palustris","NBNSYS0000008797"
3,"Pardosa pullata","NBNSYS0000008798"
3,"Pardosa prativaga","NBNSYS0000008799"
3,"Pardosa amentata","NBNSYS0000008800"
3,"Pardosa nigriceps","NBNSYS0000008801"
3,"Pardosa hortensis","NBNSYS0000008803"
4,"Pardosa trailli","NBNSYS0000008805"
4,"Pardosa paludicola","NBNSYS0000008806"
3,"Hygrolycosa rubrofasciata","NBNSYS0000008807"
3,"Xerolycosa nemoralis","NBNSYS0000008808"
3,"Xerolycosa miniata","NBNSYS0000008809"
3,"Alopecosa pulverulenta","NBNSYS0000008810"
