start_day,start_month,end_day,end_month,stage,taxon,tvk
17,3,31,12,mature,Atypus affinis,NBNSYS0000008608
14,2,31,12,mature,Amaurobius fenestralis,NBNSYS0000008610
14,2,31,12,mature,Amaurobius similis,NBNSYS0000008611
14,2,31,12,mature,Amaurobius ferox,NBNSYS0000008612
17,3,31,12,mature,Dictyna arundinacea,NBNSYS0000008613
21,4,31,12,mature,Dictyna pusilla,NBNSYS0000008614
18,5,31,12,mature,Dictyna major,NBNSYS0000008615
16,4,31,12,mature,Dictyna uncinata,NBNSYS0000008616
16,4,31,12,mature,Nigma puella,NBNSYS0000008618
18,7,31,12,mature,Nigma walckenaeri,NBNSYS0000008620
19,3,31,12,mature,Lathys humilis,NBNSYS0000008621
17,4,31,12,mature,Lathys stigmatisata,NBNSYS0000008623
23,3,31,12,mature,Argenna subnigra,NBNSYS0000008624
18,4,31,12,mature,Argenna patula,NBNSYS0000008625
1,1,31,12,mature,Altella lucida,NBNSYS0000008626
24,4,31,12,mature,Uloborus walckenaerius,NBNSYS0000008627
18,4,31,12,mature,Hyptiotes paradoxus,NBNSYS0000008628
14,2,31,12,mature,Oonops pulcher,NBNSYS0000008629
1,1,31,12,mature,Oonops domesticus,NBNSYS0000008630
20,2,31,12,mature,Dysdera erythrina,NBNSYS0000008631
22,2,31,12,mature,Dysdera crocata,NBNSYS0000008632
17,3,31,12,mature,Harpactea hombergi,NBNSYS0000008633
17,3,31,12,mature,Segestria senoculata,NBNSYS0000008635
22,4,31,12,mature,Segestria bavarica,NBNSYS0000008636
18,3,31,12,mature,Segestria florentina,NBNSYS0000008637
17,4,31,12,mature,Scytodes thoracica,NBNSYS0000008638
17,3,31,12,mature,Pholcus phalangioides,NBNSYS0000008639
1,1,31,12,mature,Psilochorus simoni,NBNSYS0000008640
18,3,31,12,mature,Zodarion italicum,NBNSYS0000008641
16,4,31,12,mature,Drassodes lapidosus,NBNSYS0000008642
23,3,31,12,mature,Drassodes cupreus,NBNSYS0000008643
16,4,31,12,mature,Drassodes pubescens,NBNSYS0000008644
23,3,31,12,mature,Haplodrassus signifer,NBNSYS0000008645
17,3,31,12,mature,Haplodrassus dalmatensis,NBNSYS0000008646
25,3,31,12,mature,Haplodrassus umbratilis,NBNSYS0000008647
18,5,31,12,mature,Haplodrassus soerenseni,NBNSYS0000008648
22,3,31,12,mature,Haplodrassus silvestris,NBNSYS0000008649
16,3,31,12,mature,Haplodrassus minor,NBNSYS0000008650
17,3,31,12,mature,Scotophaeus blackwalli,NBNSYS0000008651
24,6,31,12,mature,Scotophaeus scutulatus,NBNSYS0000008652
20,4,31,12,mature,Phaeocedus braccatus,NBNSYS0000008653
24,3,31,12,mature,Zelotes electus,NBNSYS0000008654
20,2,31,12,mature,Zelotes latreillei,NBNSYS0000008655
20,4,31,12,mature,Zelotes longipes,NBNSYS0000008657
13,2,31,12,mature,Zelotes petrensis,NBNSYS0000008658
22,4,31,12,mature,Zelotes subterraneus,NBNSYS0000008659
14,2,31,12,mature,Trachyzelotes pedestris,NBNSYS0000008660
24,5,31,12,mature,Urozelotes rusticus,NBNSYS0000008661
20,4,31,12,mature,Drassyllus lutetianus,NBNSYS0000008662
23,3,31,12,mature,Drassyllus pusillus,NBNSYS0000008663
16,4,31,12,mature,Drassyllus praeficus,NBNSYS0000008664
24,4,31,12,mature,Gnaphosa lugubris,NBNSYS0000008665
18,6,31,12,mature,Gnaphosa occidentalis,NBNSYS0000008666
17,4,31,12,mature,Gnaphosa leporina,NBNSYS0000008667
19,3,31,12,mature,Callilepis nocturna,NBNSYS0000008668
19,5,31,12,mature,Micaria alpina,NBNSYS0000008671
17,4,31,12,mature,Micaria subopaca,NBNSYS0000008672
21,4,31,12,mature,Micaria silesiaca,NBNSYS0000008673
14,2,31,12,mature,Clubiona corticalis,NBNSYS0000008674
16,4,31,12,mature,Clubiona reclusa,NBNSYS0000008675
19,4,31,12,mature,Clubiona subsultans,NBNSYS0000008676
16,4,31,12,mature,Clubiona stagnatilis,NBNSYS0000008677
22,3,31,12,mature,Clubiona rosserae,NBNSYS0000008678
20,5,31,12,mature,Clubiona norvegica,NBNSYS0000008679
19,1,31,12,mature,Clubiona caerulescens,NBNSYS0000008680
16,4,31,12,mature,Clubiona pallidula,NBNSYS0000008681
16,4,31,12,mature,Clubiona phragmitis,NBNSYS0000008682
17,3,31,12,mature,Clubiona terrestris,NBNSYS0000008683
16,4,31,12,mature,Clubiona lutescens,NBNSYS0000008686
17,3,31,12,mature,Clubiona comta,NBNSYS0000008687
17,4,31,12,mature,Clubiona brevipes,NBNSYS0000008688
17,3,31,12,mature,Clubiona trivialis,NBNSYS0000008689
18,5,31,12,mature,Clubiona juvenis,NBNSYS0000008690
17,3,31,12,mature,Clubiona diversa,NBNSYS0000008692
17,3,31,12,mature,Clubiona subtilis,NBNSYS0000008693
16,4,31,12,mature,Cheiracanthium erraticum,NBNSYS0000008694
19,5,31,12,mature,Cheiracanthium pennyi,NBNSYS0000008695
17,3,31,12,mature,Cheiracanthium virescens,NBNSYS0000008696
17,3,31,12,mature,Phrurolithus festivus,NBNSYS0000008697
