"code","taxon","tvk"
3,"Cymus aurescens","NBNSYS0000010015"
3,"Physatocheila smreczynskii","NBNSYS0000010045"
1,"Coreus marginatus","NHMSYS0020109255"
2,"Empicoris vagabundus","NHMSYS0020109256"
1,"Harpocera thoracica","NHMSYS0020109258"
1,"Heterogaster urticae","NHMSYS0020109260"
1,"Liocoris tripustulatus","NHMSYS0020109262"
3,"Loricula pselaphiformis","NHMSYS0020109263"
1,"Palomena prasina","NHMSYS0020109266"
1,"Podops inuncta","NHMSYS0020109267"
1,"Stenotus binotatus","NHMSYS0020109271"
1,"Zicrona caerulea","NHMSYS0020109277"
3,"Acalypta brunnea","NHMSYS0020308879"
3,"Acalypta carinata","NHMSYS0020308880"
3,"Acalypta nigrina","NHMSYS0020308881"
3,"Acalypta parvula","NHMSYS0020308882"
3,"Acalypta platycheila","NHMSYS0020308883"
1,"Acanthosoma haemorrhoidale","NHMSYS0020308885"
2,"Acetropis (Acetropis) gimmerthalii","NHMSYS0020308889"
4,"Acompocoris alpinus","NHMSYS0020308891"
4,"Acompocoris pygmaeus","NHMSYS0020308892"
3,"Acompus pallipes","NHMSYS0020308894"
3,"Acompus rufipes","NHMSYS0020308895"
1,"Adelphocoris lineolatus","NHMSYS0020308897"
1,"Adelphocoris seticornis","NHMSYS0020308898"
1,"Adelphocoris ticinensis","NHMSYS0020308899"
1,"Adomerus biguttatus","NHMSYS0020308901"
1,"Aelia acuminata","NHMSYS0020308903"
2,"Agnocoris reclairei","NHMSYS0020308909"
2,"Agramma (Agramma) laetum","NHMSYS0020308912"
2,"Alloeotomus gothicus","NHMSYS0020308914"
1,"Alydus calcaratus","NHMSYS0020308916"
4,"Amblytylus brevicollis","NHMSYS0020308918"
4,"Amblytylus delicatus","NHMSYS0020308919"
4,"Amblytylus nasutus","NHMSYS0020308920"
3,"Aneurus (Aneurodes) avenius","NHMSYS0020308924"
3,"Aneurus (Aneurus) laevis","NHMSYS0020308926"
3,"Anthocoris amplicollis","NHMSYS0020308931"
3,"Anthocoris butleri","NHMSYS0020308932"
3,"Anthocoris confusus","NHMSYS0020308933"
3,"Anthocoris gallarum-ulmi","NHMSYS0020308934"
3,"Anthocoris limbatus","NHMSYS0020308935"
3,"Anthocoris minki subsp. minki","NHMSYS0020308936"
3,"Anthocoris nemoralis","NHMSYS0020308937"
2,"Anthocoris nemorum","NHMSYS0020308938"
3,"Anthocoris pilosus","NHMSYS0020308939"
3,"Anthocoris sarothamni","NHMSYS0020308940"
3,"Anthocoris simulans","NHMSYS0020308941"
3,"Anthocoris visci","NHMSYS0020308942"
1,"Aphanus rolandri","NHMSYS0020308945"
3,"Aradus aterrimus","NHMSYS0020308954"
2,"Aradus betulae","NHMSYS0020308955"
2,"Aradus cinnamomeus","NHMSYS0020308956"
3,"Aradus corticalis","NHMSYS0020308957"
2,"Aradus depressus","NHMSYS0020308958"
2,"Arenocoris falleni","NHMSYS0020308961"
2,"Arenocoris waltlii","NHMSYS0020308962"
3,"Asciodema obsoleta","NHMSYS0020308968"
4,"Atractotomus magnicornis","NHMSYS0020308971"
3,"Atractotomus mali","NHMSYS0020308972"
4,"Atractotomus parvulus","NHMSYS0020308973"
2,"Bathysolen nubilus","NHMSYS0020308975"
2,"Beosus maritimus","NHMSYS0020308977"
3,"Berytinus (Berytinus) clavipes","NHMSYS0020308984"
2,"Berytinus (Berytinus) crassipes","NHMSYS0020308985"
2,"Berytinus (Berytinus) hirticornis","NHMSYS0020308986"
3,"Berytinus (Berytinus) minor","NHMSYS0020308987"
3,"Berytinus (Berytinus) montivagus","NHMSYS0020308988"
3,"Berytinus (Berytinus) signoreti","NHMSYS0020308989"
1,"Blepharidopterus angulatus","NHMSYS0020308991"
3,"Blepharidopterus diaphanus","NHMSYS0020308992"
3,"Bothynotus pilosus","NHMSYS0020308997"
2,"Brachyarthrum limitatum","NHMSYS0020308999"
1,"Brachycarenus tigrinus","NHMSYS0020309001"
2,"Brachynotocoris puncticornis","NHMSYS0020309003"
3,"Brachysteles parvicornis","NHMSYS0020309005"
1,"Bryocoris pteridis","NHMSYS0020309009"
3,"Buchananiella continua","NHMSYS0020309011"
2,"Calocoris (Calocoris) alpestris","NHMSYS0020309017"
1,"Calocoris (Calocoris) roseomaculatus","NHMSYS0020309018"
2,"Camptozygum aequale","NHMSYS0020309027"
3,"Campylomma annulicorne","NHMSYS0020309029"
3,"Campylomma verbasci","NHMSYS0020309030"
1,"Campyloneura virgula","NHMSYS0020309032"
2,"Campylosteira verna","NHMSYS0020309034"
1,"Canthophorus impressus","NHMSYS0020309036"
1,"Capsodes flavomarginatus","NHMSYS0020309038"
1,"Capsodes gothicus","NHMSYS0020309039"
1,"Capsodes sulcatus","NHMSYS0020309040"
1,"Capsus ater","NHMSYS0020309042"
2,"Capsus wagneri","NHMSYS0020309043"
3,"Cardiastethus fasciiventris","NHMSYS0020309045"
5,"Carpocoris purpureipennis","NHMSYS0020309048"
2,"Catoplatus fabricii","NHMSYS0020309050"
1,"Ceraleptus lividus","NHMSYS0020309052"
2,"Ceratocombus (Ceratocombus) coleoptratus","NHMSYS0020309058"
2,"Charagochilus (Charagochilus) gyllenhalii","NHMSYS0020309061"
2,"Charagochilus (Charagochilus) weberi","NHMSYS0020309062"
2,"Chilacis typhae","NHMSYS0020309068"
2,"Chlamydatus (Chlamydatus) saltitans","NHMSYS0020309074"
2,"Chlamydatus (Euattus) pulicarius","NHMSYS0020309076"
2,"Chlamydatus (Euattus) pullus","NHMSYS0020309077"
2,"Chlamydatus (Eurymerocoris) evanescens","NHMSYS0020309079"
2,"Chlamydatus (Eurymerocoris) wilkinsoni","NHMSYS0020309080"
1,"Chorosoma schillingi","NHMSYS0020309082"
3,"Cimex lectularius","NHMSYS0020309085"
3,"Cimex pipistrelli","NHMSYS0020309086"
2,"Compsidolon (Coniortodes) salicellum","NHMSYS0020309093"
3,"Conostethus brevis","NHMSYS0020309095"
3,"Conostethus griseus","NHMSYS0020309096"
2,"Conostethus roseus","NHMSYS0020309097"
4,"Coranus (Coranus) subapterus","NHMSYS0020309101"
4,"Coranus (Coranus) woodroffei","NHMSYS0020309102"
1,"Coriomeris denticulatus","NHMSYS0020309108"
1,"Corizus hyoscyami","NHMSYS0020309113"
1,"Cyllecoris histrionius","NHMSYS0020309124"
2,"Cymus claviculus","NHMSYS0020309130"
2,"Cymus glandicolor","NHMSYS0020309131"
2,"Cymus melanocephalus","NHMSYS0020309132"
1,"Cyphostethus tristriatus","NHMSYS0020309134"
1,"Cyrtorhinus caricis","NHMSYS0020309136"
1,"Deraeocoris (Deraeocoris) flavilinea","NHMSYS0020309142"
2,"Deraeocoris (Deraeocoris) olivaceus","NHMSYS0020309143"
1,"Deraeocoris (Deraeocoris) ruber","NHMSYS0020309144"
2,"Deraeocoris (Deraeocoris) scutellaris","NHMSYS0020309145"
2,"Deraeocoris (Knightocapsus) lutescens","NHMSYS0020309147"
2,"Derephysia (Derephysia) foliacea","NHMSYS0020309149"
1,"Dichrooscytus gustavi","NHMSYS0020309152"
1,"Dichrooscytus rufipennis","NHMSYS0020309153"
2,"Dicranocephalus agilis","NHMSYS0020309155"
2,"Dicranocephalus medius","NHMSYS0020309156"
2,"Dictyla convergens","NHMSYS0020309158"
2,"Dictyonota fuliginosa","NHMSYS0020309160"
2,"Dictyonota strichnocera","NHMSYS0020309161"
2,"Dicyphus (Brachyceroea) annulatus","NHMSYS0020309165"
2,"Dicyphus (Brachyceroea) globulifer","NHMSYS0020309166"
4,"Dicyphus (Dicyphus) constrictus","NHMSYS0020309168"
2,"Dicyphus (Dicyphus) epilobii","NHMSYS0020309169"
2,"Dicyphus (Dicyphus) errans","NHMSYS0020309170"
2,"Dicyphus (Dicyphus) stachydis","NHMSYS0020309171"
3,"Dicyphus (Idolocoris) pallicornis","NHMSYS0020309173"
1,"Dolycoris baccarum","NHMSYS0020309177"
3,"Drymus (Drymus) latus","NHMSYS0020309181"
3,"Drymus (Drymus) pilicornis","NHMSYS0020309182"
3,"Drymus (Drymus) pilipes","NHMSYS0020309183"
2,"Drymus (Sylvadrymus) brunneus","NHMSYS0020309185"
3,"Drymus (Sylvadrymus) pumilio","NHMSYS0020309186"
2,"Drymus (Sylvadrymus) ryei","NHMSYS0020309187"
2,"Drymus (Sylvadrymus) sylvaticus","NHMSYS0020309188"
2,"Dryophilocoris (Dryophilocoris) flavoquadrimaculatus","NHMSYS0020309191"
3,"Dufouriellus ater","NHMSYS0020309194"
1,"Elasmostethus interstinctus","NHMSYS0020309198"
1,"Elasmucha grisea","NHMSYS0020309200"
3,"Elatophilus (Elatophilus) nigricornis","NHMSYS0020309203"
3,"Emblethis denticollis","NHMSYS0020309205"
3,"Emblethis griseus","NHMSYS0020309206"
3,"Empicoris baerensprungi","NHMSYS0020309209"
3,"Empicoris culiciformis","NHMSYS0020309210"
1,"Enoplops scapha","NHMSYS0020309212"
2,"Eremocoris abietis","NHMSYS0020309214"
2,"Eremocoris plebejus","NHMSYS0020309215"
2,"Eremocoris podagricus","NHMSYS0020309216"
4,"Europiella artemisiae","NHMSYS0020309220"
4,"Europiella decolor","NHMSYS0020309221"
1,"Eurydema (Eurydema) oleracea","NHMSYS0020309225"
