"start_day","start_month","start_year","end_day","end_month","end_year","taxon","tvk"
1,1,1800,,,,"Cymus aurescens","NBNSYS0000010015"
1,1,1800,,,,"Physatocheila smreczynskii","NBNSYS0000010045"
1,1,1800,,,,"Coreus marginatus","NHMSYS0020109255"
1,1,1800,,,,"Empicoris vagabundus","NHMSYS0020109256"
1,1,1807,,,,"Harpocera thoracica","NHMSYS0020109258"
1,1,1800,,,,"Heterogaster urticae","NHMSYS0020109260"
1,1,1800,,,,"Liocoris tripustulatus","NHMSYS0020109262"
1,1,1800,,,,"Loricula pselaphiformis","NHMSYS0020109263"
1,1,1800,,,,"Palomena prasina","NHMSYS0020109266"
1,1,1800,,,,"Podops inuncta","NHMSYS0020109267"
1,1,1800,,,,"Stenotus binotatus","NHMSYS0020109271"
1,1,1800,,,,"Zicrona caerulea","NHMSYS0020109277"
1,1,1800,,,,"Acalypta brunnea","NHMSYS0020308879"
1,1,1800,,,,"Acalypta carinata","NHMSYS0020308880"
1,1,1800,,,,"Acalypta nigrina","NHMSYS0020308881"
1,1,1800,,,,"Acalypta parvula","NHMSYS0020308882"
1,1,1800,,,,"Acalypta platycheila","NHMSYS0020308883"
1,1,1800,,,,"Acanthosoma haemorrhoidale","NHMSYS0020308885"
1,1,1860,,,,"Acetropis (Acetropis) gimmerthalii","NHMSYS0020308889"
1,1,1800,,,,"Acompocoris alpinus","NHMSYS0020308891"
1,1,1800,,,,"Acompocoris pygmaeus","NHMSYS0020308892"
1,1,1800,,,,"Acompus pallipes","NHMSYS0020308894"
1,1,1800,,,,"Acompus rufipes","NHMSYS0020308895"
1,1,1800,,,,"Adelphocoris lineolatus","NHMSYS0020308897"
1,1,1800,,,,"Adelphocoris seticornis","NHMSYS0020308898"
1,1,1840,,,,"Adelphocoris ticinensis","NHMSYS0020308899"
1,1,1800,,,,"Adomerus biguttatus","NHMSYS0020308901"
1,1,1800,,,,"Aelia acuminata","NHMSYS0020308903"
1,1,1950,,,,"Agnocoris reclairei","NHMSYS0020308909"
1,1,1800,,,,"Agramma (Agramma) laetum","NHMSYS0020308912"
1,1,1951,,,,"Alloeotomus gothicus","NHMSYS0020308914"
1,1,1800,,,,"Alydus calcaratus","NHMSYS0020308916"
1,1,1858,,,,"Amblytylus brevicollis","NHMSYS0020308918"
1,1,1857,,,,"Amblytylus delicatus","NHMSYS0020308919"
1,1,1856,,,,"Amblytylus nasutus","NHMSYS0020308920"
1,1,1800,,,,"Aneurus (Aneurodes) avenius","NHMSYS0020308924"
1,1,1800,,,,"Aneurus (Aneurus) laevis","NHMSYS0020308926"
1,1,1800,,,,"Anthocoris amplicollis","NHMSYS0020308931"
1,1,1800,,,,"Anthocoris butleri","NHMSYS0020308932"
1,1,1800,,,,"Anthocoris confusus","NHMSYS0020308933"
1,1,1800,,,,"Anthocoris gallarum-ulmi","NHMSYS0020308934"
1,1,1800,,,,"Anthocoris limbatus","NHMSYS0020308935"
1,1,1983,,,,"Anthocoris minki subsp. minki","NHMSYS0020308936"
1,1,1800,,,,"Anthocoris nemoralis","NHMSYS0020308937"
1,1,1800,,,,"Anthocoris nemorum","NHMSYS0020308938"
1,1,1936,,,,"Anthocoris pilosus","NHMSYS0020308939"
1,1,1800,,,,"Anthocoris sarothamni","NHMSYS0020308940"
1,1,1954,,,,"Anthocoris simulans","NHMSYS0020308941"
1,1,1800,,,,"Anthocoris visci","NHMSYS0020308942"
1,1,1800,,,,"Aphanus rolandri","NHMSYS0020308945"
1,1,1800,,,,"Aradus aterrimus","NHMSYS0020308954"
1,1,1800,,,,"Aradus betulae","NHMSYS0020308955"
1,1,1800,,,,"Aradus cinnamomeus","NHMSYS0020308956"
1,1,1800,,,,"Aradus corticalis","NHMSYS0020308957"
1,1,1800,,,,"Aradus depressus","NHMSYS0020308958"
1,1,1800,,,,"Arenocoris falleni","NHMSYS0020308961"
1,1,1800,,,,"Arenocoris waltlii","NHMSYS0020308962"
1,1,1864,,,,"Asciodema obsoleta","NHMSYS0020308968"
1,1,1807,,,,"Atractotomus magnicornis","NHMSYS0020308971"
1,1,1843,,,,"Atractotomus mali","NHMSYS0020308972"
1,1,1878,,,,"Atractotomus parvulus","NHMSYS0020308973"
1,1,1800,,,,"Bathysolen nubilus","NHMSYS0020308975"
1,1,1800,,,,"Beosus maritimus","NHMSYS0020308977"
1,1,1800,,,,"Berytinus (Berytinus) clavipes","NHMSYS0020308984"
1,1,1800,,,,"Berytinus (Berytinus) crassipes","NHMSYS0020308985"
1,1,1800,,,,"Berytinus (Berytinus) hirticornis","NHMSYS0020308986"
1,1,1800,,,,"Berytinus (Berytinus) minor","NHMSYS0020308987"
1,1,1800,,,,"Berytinus (Berytinus) montivagus","NHMSYS0020308988"
1,1,1800,,,,"Berytinus (Berytinus) signoreti","NHMSYS0020308989"
1,1,1829,,,,"Blepharidopterus angulatus","NHMSYS0020308991"
1,1,1856,,,,"Blepharidopterus diaphanus","NHMSYS0020308992"
1,1,1852,,,,"Bothynotus pilosus","NHMSYS0020308997"
1,1,1858,,,,"Brachyarthrum limitatum","NHMSYS0020308999"
1,1,2003,,,,"Brachycarenus tigrinus","NHMSYS0020309001"
1,1,2002,,,,"Brachynotocoris puncticornis","NHMSYS0020309003"
1,1,1800,,,,"Brachysteles parvicornis","NHMSYS0020309005"
1,1,1807,,,,"Bryocoris pteridis","NHMSYS0020309009"
1,1,1999,,,,"Buchananiella continua","NHMSYS0020309011"
1,1,1843,,,,"Calocoris (Calocoris) alpestris","NHMSYS0020309017"
1,1,1800,,,,"Calocoris (Calocoris) roseomaculatus","NHMSYS0020309018"
1,1,1865,,,,"Camptozygum aequale","NHMSYS0020309027"
1,1,1978,,,,"Campylomma annulicorne","NHMSYS0020309029"
1,1,1843,,,,"Campylomma verbasci","NHMSYS0020309030"
1,1,1836,,,,"Campyloneura virgula","NHMSYS0020309032"
1,1,1800,,,,"Campylosteira verna","NHMSYS0020309034"
1,1,1800,,,,"Canthophorus impressus","NHMSYS0020309036"
1,1,1800,,,,"Capsodes flavomarginatus","NHMSYS0020309038"
1,1,1800,,,,"Capsodes gothicus","NHMSYS0020309039"
1,1,1861,,,,"Capsodes sulcatus","NHMSYS0020309040"
1,1,1800,,,,"Capsus ater","NHMSYS0020309042"
1,1,1954,,,,"Capsus wagneri","NHMSYS0020309043"
1,1,1800,,,,"Cardiastethus fasciiventris","NHMSYS0020309045"
1,1,1995,,,,"Carpocoris purpureipennis","NHMSYS0020309048"
1,1,1800,,,,"Catoplatus fabricii","NHMSYS0020309050"
1,1,1800,,,,"Ceraleptus lividus","NHMSYS0020309052"
1,1,1800,,,,"Ceratocombus (Ceratocombus) coleoptratus","NHMSYS0020309058"
1,1,1807,,,,"Charagochilus (Charagochilus) gyllenhalii","NHMSYS0020309061"
1,1,1959,,,,"Charagochilus (Charagochilus) weberi","NHMSYS0020309062"
1,1,1800,,,,"Chilacis typhae","NHMSYS0020309068"
1,1,1807,,,,"Chlamydatus (Chlamydatus) saltitans","NHMSYS0020309074"
1,1,1913,,,,"Chlamydatus (Euattus) pulicarius","NHMSYS0020309076"
1,1,1870,,,,"Chlamydatus (Euattus) pullus","NHMSYS0020309077"
1,1,1852,,,,"Chlamydatus (Eurymerocoris) evanescens","NHMSYS0020309079"
1,1,1866,,,,"Chlamydatus (Eurymerocoris) wilkinsoni","NHMSYS0020309080"
1,1,1800,,,,"Chorosoma schillingi","NHMSYS0020309082"
