tvk,value_code,taxon
NBNSYS0000008345,1,Glossosoma intermedium
NBNSYS0000008352,2,Hydroptila angulata
NBNSYS0000008353,2,Hydroptila cornuta
NBNSYS0000008355,2,Hydroptila lotensis
NBNSYS0000008358,2,Hydroptila pulchricornis
NBNSYS0000008361,2,Hydroptila sylvestris
NBNSYS0000008362,2,Hydroptila tigurina
NBNSYS0000008366,1,Oxyethira distinctella
NBNSYS0000008371,1,Oxyethira sagittifera
NBNSYS0000008373,1,Oxyethira tristella
NBNSYS0000008374,2,Tricholeiochiton fagesii
NBNSYS0000008375,2,Ithytrichia clavata
NBNSYS0000008377,1,Orthotrichia angustella
NBNSYS0000008379,1,Orthotrichia tragetti
NBNSYS0000008381,1,Wormaldia mediana
NBNSYS0000008393,2,Tinodes pallidulus
NBNSYS0000008394,2,Tinodes rostocki
NBNSYS0000008400,1,Cyrnus insolutus
NBNSYS0000008404,1,Holocentropus stagnalis
NBNSYS0000008415,2,Hydropsyche contubernalis
NBNSYS0000008426,2,Agrypnia picta
NBNSYS0000008428,1,Hagenella clathrata
NBNSYS0000008437,2,Ironoquia dubia
NBNSYS0000008450,2,Mesophylax aspersus
NBNSYS0000008451,1,Mesophylax impunctatus
NBNSYS0000008470,1,Limnephilus borealis
NBNSYS0000008487,2,Limnephilus pati
NBNSYS0000008492,1,Limnephilus subcentralis
NBNSYS0000008493,2,Limnephilus tauricus
NBNSYS0000008495,1,Nemotaulius punctatolineatus
NBNSYS0000008515,2,Athripsodes commutatus
NBNSYS0000008528,2,Adicella filicornis
NBNSYS0000008530,1,Erotesis baltica
NBNSYS0000008533,2,Ylodes reuteri
NBNSYS0000008534,1,Ylodes simulans
NBNSYS0000008537,1,Oecetis notata
NBNSYS0000008540,1,Setodes argentipunctellus
NBNSYS0000008541,2,Setodes punctatus
NHMSYS0021008788,2,Agrypnetes crassicornis
NHMSYS0020442420,2,Leptocerus interruptus
NHMSYS0020704793,1,Grammotaulius nitidus
NHMSYS0020785001,2,Anabolia brevipennis
