"code","taxon","tvk"
3,"Rhyacophila dorsalis","NBNSYS0000008339"
3,"Rhyacophila munda","NBNSYS0000008340"
3,"Rhyacophila obliterata","NBNSYS0000008341"
3,"Glossosoma boltoni","NBNSYS0000008343"
3,"Glossosoma conformis","NBNSYS0000008344"
3,"Glossosoma intermedium","NBNSYS0000008345"
3,"Agapetus delicatulus","NBNSYS0000008346"
3,"Agapetus fuscipes","NBNSYS0000008347"
3,"Agapetus ochripes","NBNSYS0000008348"
3,"Agraylea multipunctata","NBNSYS0000008349"
3,"Agraylea sexmaculata","NBNSYS0000008350"
3,"Allotrichia pallicornis","NBNSYS0000008351"
3,"Hydroptila angulata","NBNSYS0000008352"
4,"Hydroptila cornuta","NBNSYS0000008353"
3,"Hydroptila forcipata","NBNSYS0000008354"
4,"Hydroptila lotensis","NBNSYS0000008355"
4,"Hydroptila martini","NBNSYS0000008356"
4,"Hydroptila occulta","NBNSYS0000008357"
4,"Hydroptila pulchricornis","NBNSYS0000008358"
3,"Hydroptila simulans","NBNSYS0000008359"
3,"Hydroptila sparsa","NBNSYS0000008360"
4,"Hydroptila sylvestris","NBNSYS0000008361"
4,"Hydroptila tigurina","NBNSYS0000008362"
3,"Hydroptila tineoides","NBNSYS0000008363"
4,"Hydroptila valesiaca","NBNSYS0000008364"
4,"Hydroptila vectis","NBNSYS0000008365"
4,"Oxyethira distinctella","NBNSYS0000008366"
3,"Oxyethira falcata","NBNSYS0000008367"
3,"Oxyethira frici","NBNSYS0000008369"
4,"Oxyethira mirabilis","NBNSYS0000008370"
3,"Oxyethira sagittifera","NBNSYS0000008371"
3,"Oxyethira simplex","NBNSYS0000008372"
4,"Oxyethira tristella","NBNSYS0000008373"
4,"Tricholeiochiton fagesii","NBNSYS0000008374"
4,"Ithytrichia clavata","NBNSYS0000008375"
3,"Ithytrichia lamellaris","NBNSYS0000008376"
3,"Orthotrichia angustella","NBNSYS0000008377"
3,"Orthotrichia costalis","NBNSYS0000008378"
4,"Orthotrichia tragetti","NBNSYS0000008379"
1,"Philopotamus montanus","NBNSYS0000008380"
3,"Wormaldia mediana","NBNSYS0000008381"
3,"Wormaldia occipitalis","NBNSYS0000008382"
3,"Wormaldia subnigra","NBNSYS0000008383"
1,"Chimarra marginata","NBNSYS0000008384"
3,"Lype phaeopa","NBNSYS0000008385"
3,"Lype reducta","NBNSYS0000008386"
3,"Tinodes assimilis","NBNSYS0000008389"
3,"Tinodes dives","NBNSYS0000008390"
3,"Tinodes maclachlani","NBNSYS0000008391"
4,"Tinodes pallidulus","NBNSYS0000008393"
3,"Tinodes rostocki","NBNSYS0000008394"
3,"Tinodes unicolor","NBNSYS0000008395"
2,"Tinodes waeneri","NBNSYS0000008396"
3,"Ecnomus tenellus","NBNSYS0000008397"
3,"Cyrnus flavidus","NBNSYS0000008399"
3,"Cyrnus insolutus","NBNSYS0000008400"
4,"Cyrnus trimaculatus","NBNSYS0000008401"
3,"Holocentropus dubius","NBNSYS0000008402"
3,"Holocentropus picicornis","NBNSYS0000008403"
3,"Holocentropus stagnalis","NBNSYS0000008404"
2,"Neureclipsis bimaculata","NBNSYS0000008405"
4,"Plectrocnemia brevis","NBNSYS0000008406"
3,"Plectrocnemia conspersa","NBNSYS0000008407"
3,"Plectrocnemia geniculata","NBNSYS0000008408"
3,"Polycentropus flavomaculatus","NBNSYS0000008409"
3,"Polycentropus irroratus","NBNSYS0000008410"
3,"Polycentropus kingi","NBNSYS0000008411"
3,"Cheumatopsyche lepida","NBNSYS0000008412"
3,"Hydropsyche angustipennis","NBNSYS0000008413"
3,"Hydropsyche bulgaromanorum","NBNSYS0000008414"
4,"Hydropsyche contubernalis","NBNSYS0000008415"
4,"Hydropsyche exocellata","NBNSYS0000008416"
3,"Hydropsyche fulvipes","NBNSYS0000008417"
3,"Hydropsyche instabilis","NBNSYS0000008418"
3,"Hydropsyche pellucidula","NBNSYS0000008419"
3,"Hydropsyche saxonica","NBNSYS0000008420"
3,"Hydropsyche siltalai","NBNSYS0000008421"
2,"Diplectrona felix","NBNSYS0000008422"
4,"Hagenella clathrata","NBNSYS0000008428"
1,"Oligotricha striata","NBNSYS0000008429"
2,"Phryganea bipunctata","NBNSYS0000008430"
2,"Phryganea grandis","NBNSYS0000008431"
2,"Trichostegia minor","NBNSYS0000008432"
1,"Brachycentrus subnubilus","NBNSYS0000008433"
2,"Crunoecia irrorata","NBNSYS0000008434"
4,"Ironoquia dubia","NBNSYS0000008437"
3,"Apatania muliebris","NBNSYS0000008439"
3,"Apatania wallengreni","NBNSYS0000008441"
2,"Drusus annulatus","NBNSYS0000008442"
3,"Allogamus auricollis","NBNSYS0000008444"
2,"Enoicyla pusilla","NBNSYS0000008445"
2,"Halesus digitatus","NBNSYS0000008446"
2,"Halesus radiatus","NBNSYS0000008447"
3,"Hydatophylax infumatus","NBNSYS0000008448"
3,"Melampophylax mucoreus","NBNSYS0000008449"
4,"Mesophylax aspersus","NBNSYS0000008450"
3,"Mesophylax impunctatus","NBNSYS0000008451"
3,"Micropterna lateralis","NBNSYS0000008454"
3,"Micropterna sequax","NBNSYS0000008455"
3,"Potamophylax cingulatus","NBNSYS0000008456"
3,"Potamophylax latipennis","NBNSYS0000008457"
3,"Potamophylax rotundipennis","NBNSYS0000008458"
3,"Stenophylax permistus","NBNSYS0000008459"
3,"Stenophylax vibex","NBNSYS0000008460"
2,"Anabolia nervosa","NBNSYS0000008462"
1,"Glyphotaelius pellucidus","NBNSYS0000008463"
2,"Grammotaulius nigropunctatus","NBNSYS0000008464"
1,"Limnephilus affinis","NBNSYS0000008466"
1,"Limnephilus auricula","NBNSYS0000008467"
3,"Limnephilus binotatus","NBNSYS0000008468"
3,"Limnephilus bipunctatus","NBNSYS0000008469"
3,"Limnephilus borealis","NBNSYS0000008470"
2,"Limnephilus centralis","NBNSYS0000008471"
3,"Limnephilus coenosus","NBNSYS0000008472"
3,"Limnephilus decipiens","NBNSYS0000008473"
1,"Limnephilus elegans","NBNSYS0000008474"
3,"Limnephilus extricatus","NBNSYS0000008475"
3,"Limnephilus fuscicornis","NBNSYS0000008477"
2,"Limnephilus griseus","NBNSYS0000008479"
3,"Limnephilus hirsutus","NBNSYS0000008480"
3,"Limnephilus ignavus","NBNSYS0000008481"
2,"Limnephilus incisus","NBNSYS0000008482"
1,"Limnephilus lunatus","NBNSYS0000008483"
3,"Limnephilus luridus","NBNSYS0000008484"
1,"Limnephilus marmoratus","NBNSYS0000008485"
3,"Limnephilus nigriceps","NBNSYS0000008486"
4,"Limnephilus pati","NBNSYS0000008487"
3,"Limnephilus politus","NBNSYS0000008488"
1,"Limnephilus rhombicus","NBNSYS0000008489"
2,"Limnephilus sparsus","NBNSYS0000008490"
3,"Limnephilus stigma","NBNSYS0000008491"
3,"Limnephilus subcentralis","NBNSYS0000008492"
4,"Limnephilus tauricus","NBNSYS0000008493"
2,"Nemotaulius punctatolineatus","NBNSYS0000008495"
3,"Rhadicoleptus alpestris","NBNSYS0000008497"
3,"Silo nigricornis","NBNSYS0000008499"
3,"Beraea maurus","NBNSYS0000008501"
3,"Beraea pullata","NBNSYS0000008502"
3,"Beraeodes minutus","NBNSYS0000008503"
3,"Ernodes articularis","NBNSYS0000008504"
3,"Notidobia ciliaris","NBNSYS0000008505"
1,"Sericostoma personatum","NBNSYS0000008506"
1,"Odontocerum albicorne","NBNSYS0000008507"
3,"Molanna albicans","NBNSYS0000008508"
3,"Molanna angustata","NBNSYS0000008509"
1,"Athripsodes albifrons","NBNSYS0000008510"
3,"Athripsodes aterrimus","NBNSYS0000008512"
1,"Athripsodes bilineatus","NBNSYS0000008513"
2,"Athripsodes cinereus","NBNSYS0000008514"
2,"Athripsodes commutatus","NBNSYS0000008515"
3,"Ceraclea albimacula","NBNSYS0000008516"
3,"Ceraclea annulicornis","NBNSYS0000008517"
3,"Ceraclea dissimilis","NBNSYS0000008518"
3,"Ceraclea fulva","NBNSYS0000008519"
1,"Ceraclea nigronervosa","NBNSYS0000008520"
3,"Ceraclea senilis","NBNSYS0000008521"
3,"Leptocerus lusitanicus","NBNSYS0000008523"
3,"Leptocerus tineiformis","NBNSYS0000008524"
3,"Mystacides azurea","NBNSYS0000008525"
1,"Mystacides longicornis","NBNSYS0000008526"
4,"Adicella filicornis","NBNSYS0000008528"
3,"Adicella reducta","NBNSYS0000008529"
3,"Erotesis baltica","NBNSYS0000008530"
2,"Triaenodes bicolor","NBNSYS0000008531"
3,"Ylodes conspersus","NBNSYS0000008532"
3,"Ylodes reuteri","NBNSYS0000008533"
3,"Ylodes simulans","NBNSYS0000008534"
3,"Oecetis furva","NBNSYS0000008535"
3,"Oecetis lacustris","NBNSYS0000008536"
3,"Oecetis notata","NBNSYS0000008537"
2,"Oecetis ochracea","NBNSYS0000008538"
3,"Oecetis testacea","NBNSYS0000008539"
3,"Setodes argentipunctellus","NBNSYS0000008540"
3,"Setodes punctatus","NBNSYS0000008541"
3,"Goeridae","NBNSYS0000042269"
3,"Hydropsychidae","NBNSYS0000042280"
3,"Rhyacophila fasciata","NBNSYS0000155925"
3,"Beraeidae","NBNSYS0000159496"
2,"Phryganeidae","NBNSYS0000160695"
3,"Leptocerus interruptus","NHMSYS0020442420"
3,"Psychomyia fragilis","NHMSYS0020547806"
1,"Chaetopteryx villosa","NHMSYS0020704776"
2,"Goera pilosa","NHMSYS0020704791"
4,"Grammotaulius nitidus","NHMSYS0020704793"
2,"Halesus","NHMSYS0020704795"
3,"Hydropsyche","NHMSYS0020704798"
1,"Lepidostoma hirtum","NHMSYS0020704804"
1,"Limnephilus flavicornis","NHMSYS0020704807"
2,"Limnephilus vittatus","NHMSYS0020704808"
3,"Lype","NHMSYS0020704809"
2,"Molanna","NHMSYS0020704814"
3,"Plectrocnemia","NHMSYS0020704827"
3,"Psychomyia pusilla","NHMSYS0020704831"
3,"Rhyacophila","NHMSYS0020704833"
3,"Silo pallipes","NHMSYS0020704837"
3,"Anabolia brevipennis","NHMSYS0020785001"
3,"Ecclisopteryx dalecarlica","NHMSYS0021008755"
3,"Agrypnetes crassicornis","NHMSYS0021008788"
3,"Lepidostoma basale","NHMSYS0021008795"
