"start_day","start_month","end_day","end_month","stage","taxon","tvk"
1,3,30,11,"mature","Rhyacophila dorsalis","NBNSYS0000008339"
1,5,31,10,"mature","Rhyacophila munda","NBNSYS0000008340"
1,5,31,10,"mature","Rhyacophila obliterata","NBNSYS0000008341"
1,3,30,11,"mature","Glossosoma boltoni","NBNSYS0000008343"
1,4,31,10,"mature","Glossosoma conformis","NBNSYS0000008344"
1,4,31,5,"mature","Glossosoma intermedium","NBNSYS0000008345"
1,6,30,9,"mature","Agapetus delicatulus","NBNSYS0000008346"
1,4,31,10,"mature","Agapetus ochripes","NBNSYS0000008348"
1,4,30,9,"mature","Agraylea multipunctata","NBNSYS0000008349"
1,5,30,9,"mature","Agraylea sexmaculata","NBNSYS0000008350"
1,5,31,8,"mature","Allotrichia pallicornis","NBNSYS0000008351"
1,6,31,10,"mature","Hydroptila angulata","NBNSYS0000008352"
1,6,31,8,"mature","Hydroptila cornuta","NBNSYS0000008353"
1,5,30,9,"mature","Hydroptila forcipata","NBNSYS0000008354"
1,5,30,9,"mature","Hydroptila lotensis","NBNSYS0000008355"
1,6,31,8,"mature","Hydroptila martini","NBNSYS0000008356"
1,5,30,9,"mature","Hydroptila occulta","NBNSYS0000008357"
1,6,30,9,"mature","Hydroptila pulchricornis","NBNSYS0000008358"
1,5,30,9,"mature","Hydroptila simulans","NBNSYS0000008359"
1,5,31,10,"mature","Hydroptila sparsa","NBNSYS0000008360"
1,5,30,9,"mature","Hydroptila sylvestris","NBNSYS0000008361"
1,6,31,8,"mature","Hydroptila tigurina","NBNSYS0000008362"
1,5,31,10,"mature","Hydroptila tineoides","NBNSYS0000008363"
1,5,31,10,"mature","Hydroptila vectis","NBNSYS0000008365"
1,5,31,10,"mature","Oxyethira falcata","NBNSYS0000008367"
1,5,30,9,"mature","Oxyethira flavicornis","NBNSYS0000008368"
1,6,30,9,"mature","Oxyethira frici","NBNSYS0000008369"
1,7,31,8,"mature","Oxyethira mirabilis","NBNSYS0000008370"
1,6,30,9,"mature","Oxyethira sagittifera","NBNSYS0000008371"
1,5,31,10,"mature","Oxyethira simplex","NBNSYS0000008372"
1,5,30,9,"mature","Oxyethira tristella","NBNSYS0000008373"
1,5,31,10,"mature","Tricholeiochiton fagesii","NBNSYS0000008374"
1,6,31,8,"mature","Ithytrichia clavata","NBNSYS0000008375"
1,6,30,9,"mature","Ithytrichia lamellaris","NBNSYS0000008376"
1,7,31,8,"mature","Orthotrichia angustella","NBNSYS0000008377"
1,5,30,9,"mature","Orthotrichia costalis","NBNSYS0000008378"
1,2,31,10,"mature","Philopotamus montanus","NBNSYS0000008380"
1,6,30,9,"mature","Wormaldia mediana","NBNSYS0000008381"
1,1,30,11,"mature","Wormaldia occipitalis","NBNSYS0000008382"
1,6,31,10,"mature","Wormaldia subnigra","NBNSYS0000008383"
1,2,30,9,"mature","Chimarra marginata","NBNSYS0000008384"
1,5,30,9,"mature","Lype phaeopa","NBNSYS0000008385"
1,5,31,8,"mature","Lype reducta","NBNSYS0000008386"
1,4,30,9,"mature","Tinodes assimilis","NBNSYS0000008389"
