taxon,tvk,km100,km10,coord_system
Ironoquia dubia,NBNSYS0000008437,SU,66 97,OSGB
Limnephilus flavicornis,NBNSYS0000008476,HU,25 26 28 31 34 35 38 43 44 45,OSGB
Limnephilus flavicornis,NBNSYS0000008476,NB,24 43 90 91,OSGB
Limnephilus flavicornis,NBNSYS0000008476,NC,14 25 86 96,OSGB
Limnephilus flavicornis,NBNSYS0000008476,ND,06 07 12 13 15 16 17 23 25 26 27 34 35 36 37,OSGB
Limnephilus flavicornis,NBNSYS0000008476,NG,84 87,OSGB
Limnephilus flavicornis,NBNSYS0000008476,NH,02 11 13 64 65 74 75 76 77 78 85 87 88 89 95 96 98,OSGB
Limnephilus flavicornis,NBNSYS0000008476,NJ,05 06 16 17 25 26 27 35 36 46,OSGB
Limnephilus flavicornis,NBNSYS0000008476,NN,40 50 60 70 74 75 80 86 90 96,OSGB
Limnephilus flavicornis,NBNSYS0000008476,NO,00 06 10 11 12 20 21 22 30 31 32 40 41 42 43 50 51 53 60 61 63,OSGB
Limnephilus flavicornis,NBNSYS0000008476,NR,67 87,OSGB
Limnephilus flavicornis,NBNSYS0000008476,NS,24 27 28 32 33 34 35 36 37 38 39 43 44 45 46 47 48 52 55 56 57 59 62 63 65 66 67 70 71 73 75 76 77 79 80 86 87 88 89 96 97 98 99,OSGB
Limnephilus flavicornis,NBNSYS0000008476,NT,06 07 08 09 16 18 19 28 29 39 47 48 49 58 59 67 68,OSGB
Limnephilus flavicornis,NBNSYS0000008476,NX,67 68 75 76 77 78 79 86 87 88 89 93 96 97 98 99,OSGB
Limnephilus flavicornis,NBNSYS0000008476,NY,04 05 08 09 15 16 26,OSGB
Limnephilus flavicornis,NBNSYS0000008476,NZ,11 12 13 15 16 20 21 22 23 24 25 26 27 30 31 32 33 34 35 36 37 40 41 42 43 44 45 46 51 52 53 62,OSGB
Limnephilus flavicornis,NBNSYS0000008476,SD,16 17 20 21 26 27 30 31 32 33 34 35 36 40 41 42 43 44 45 46 50 51 52 53 54 60 61 62 70 71 72 80 81 82 83 90 91 92,OSGB
Limnephilus flavicornis,NBNSYS0000008476,SE,02 03 04 11 12 13 14 21 22 23 24 26 27 29 31 32 33 34 35 36 37 40 41 42 43 44 45 46 50 51 52 53 54 55 56 60 61 62 63 64 65 66 70 71 72 73 74 75 76 80 81 82 83 84 87 90 93 94 95 97,OSGB
Limnephilus flavicornis,NBNSYS0000008476,SH,88 97 98,OSGB
Limnephilus flavicornis,NBNSYS0000008476,SJ,07 08 17 18 20 21 22 23 25 26 27 28 29 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 53 54 55 56 57 58 59 61 62 63 64 65 66 67 68 69 71 72 73 74 75 76 77 78 79 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Limnephilus flavicornis,NBNSYS0000008476,SK,00 01 02 03 04 05 07 08 09 10 12 16 17 18 20 21 22 25 26 30 31 32 33 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 81 82 83 84 85 86 87 88 89 90 95 96 97,OSGB
Limnephilus flavicornis,NBNSYS0000008476,SN,20 30 31 40 50,OSGB
Limnephilus flavicornis,NBNSYS0000008476,SO,10 19 30 50 51 54 60 61 62 70 71 72 73 74 75 76 77 81 82 83 84 85 86 87 92 93 94 95 96 97 98 99,OSGB
Limnephilus flavicornis,NBNSYS0000008476,SP,03 04 05 06 07 09 12 13 14 15 16 20 21 22 23 24 25 26 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 49 50 51 52 53 54 55 57 58 59 60 61 62 63 65 68 69 70 71 72 73 74 75 77 78 79 80 81 82 83 84 85 86 87 88 90 91 92 93 94 95 96 97 98 99,OSGB
Limnephilus flavicornis,NBNSYS0000008476,SS,38 39 48 49 96 97,OSGB
Limnephilus flavicornis,NBNSYS0000008476,ST,06 09 16 17 18 19 22 23 24 25 26 27 28 32 33 34 35 36 37 38 39 41 42 43 44 45 46 47 48 49 51 52 53 54 55 56 57 58 59 61 63 66 69 72 74 76 98,OSGB
Limnephilus flavicornis,NBNSYS0000008476,SU,09 19 29 30 39 40 46 47 49 50 56 57 58 59 60 66 67 68 69 70 73 75 76 77 78 79 80 82 83 84 85 86 87 88 89 94 95 96 97 98 99,OSGB
Limnephilus flavicornis,NBNSYS0000008476,SV,80 81 90 91,OSGB
Limnephilus flavicornis,NBNSYS0000008476,SW,32 33 42 43 44 52 53 54 61 62 63 64 65 71 72 74 75 76 81 82 83 86 87 93 97,OSGB
Limnephilus flavicornis,NBNSYS0000008476,SY,48 66 67 87,OSGB
Limnephilus flavicornis,NBNSYS0000008476,SZ,19 29 38 39 47 48 49 57 59 68 69 79 89 99,OSGB
Limnephilus flavicornis,NBNSYS0000008476,TA,03 04 05 06 07 13 14 15 16 17 22 23 24 26 27 32 33,OSGB
Limnephilus flavicornis,NBNSYS0000008476,TF,00 01 02 07 09 10 11 12 13 14 15 20 21 22 30 40 41 50 70 71 80,OSGB
