start_day,start_month,start_year,end_day,end_month,end_year,taxon,tvk
1,1,1800,,,,Subcoccinella vigintiquattuorpunctata,NBNSYS0000008289
1,1,1800,,,,Coccidula rufa,NBNSYS0000008290
1,1,1800,,,,Coccidula scutellata,NBNSYS0000008291
1,1,1800,,,,Clitostethus arcuatus,NBNSYS0000008293
1,1,1800,,,,Scymnus femoralis,NBNSYS0000008295
1,1,1800,,,,Scymnus frontalis,NBNSYS0000008296
1,1,1908,,,,Scymnus nigrinus,NBNSYS0000008297
1,1,1800,,,,Scymnus schmidti,NBNSYS0000008298
1,1,1800,,,,Scymnus auritus,NBNSYS0000008299
1,1,1800,,,,Scymnus haemorrhoidalis,NBNSYS0000008300
1,1,1800,,,,Scymnus limbatus,NBNSYS0000008302
1,1,1902,,,,Scymnus suturalis,NBNSYS0000008303
1,1,1800,,,,Nephus bisignatus,NBNSYS0000008304
1,1,1800,,,,Nephus quadrimaculatus,NBNSYS0000008305
1,1,1800,,,,Hyperaspis pseudopustulata,NBNSYS0000008307
1,1,1800,,,,Platynaspis luteorubra,NBNSYS0000008308
1,1,1800,,,,Chilocorus bipustulatus,NBNSYS0000008309
1,1,1800,,,,Chilocorus renipustulatus,NBNSYS0000008310
1,1,1800,,,,Exochomus nigromaculatus,NBNSYS0000008311
1,1,1800,,,,Exochomus quadripustulatus,NBNSYS0000008312
1,1,1800,,,,Hippodamia tredecimpunctata,NBNSYS0000008313
1,1,1800,,,,Hippodamia variegata,NBNSYS0000008315
1,1,1800,,,,Anisosticta novemdecimpunctata,NBNSYS0000008316
1,1,1800,,,,Aphidecta obliterata,NBNSYS0000008317
1,1,1800,,,,Tytthaspis sedecimpunctata,NBNSYS0000008318
1,1,1800,,,,Adalia bipunctata,NBNSYS0000008319
1,1,1800,,,,Adalia decempunctata,NBNSYS0000008320
1,1,1800,,,,Coccinella magnifica,NBNSYS0000008321
1,1,1800,,,,Coccinella hieroglyphica,NBNSYS0000008322
1,1,1800,,,,Coccinella quinquepunctata,NBNSYS0000008323
1,1,1800,,,,Coccinella septempunctata,NBNSYS0000008324
1,1,1800,,,,Coccinella undecimpunctata,NBNSYS0000008325
1,1,1937,,,,Harmonia quadripunctata,NBNSYS0000008326
1,1,1800,,,,Anatis ocellata,NBNSYS0000008327
1,1,1800,,,,Myrrha octodecimguttata,NBNSYS0000008328
1,1,1800,,,,Calvia quattuordecimguttata,NBNSYS0000008329
1,1,1800,,,,Propylea quattuordecimpunctata,NBNSYS0000008330
1,1,1800,,,,Myzia oblongoguttata,NBNSYS0000008331
1,1,1800,,,,Halyzia sedecimguttata,NBNSYS0000008332
1,1,1839,,,,Vibidia duodecimguttata,NBNSYS0000008333
1,1,1800,,,,Psyllobora vigintiduopunctata,NBNSYS0000008334
1,1,2004,,,,Harmonia axyridis,NHMSYS0000712592
1,1,2007,,,,Cryptolaemus montrouzieri,NHMSYS0020151871
1,1,1997,,,,Henosepilachna argus,NHMSYS0020152260
1,1,1996,,,,Rhyzobius chrysomeloides,NHMSYS0020153335
1,1,1800,,,,Rhyzobius litura,NHMSYS0020153336
1,1,1999,,,,Rhyzobius lophanthae,NHMSYS0020153337
1,1,2003,,,,Rodolia cardinalis,NHMSYS0020153342
1,1,1996,,,,Scymnus interruptus,NHMSYS0020920019
1,1,1961,,,,Scymnus rubromaculatus,NHMSYS0021233083
1,1,1800,,,,Nephus limonii/redtenbacheri agg.,NHMSYS0021366799
1,1,1800,,,,Stethorus pusillus,NHMSYS0021366929
