taxon,tvk,km100,km10,coord_system
Exochomus quadripustulatus,NBNSYS0000008312,NT,17 27 37 47 48 58 67 68 77,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,NZ,62 71 72 80 81 90 91,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,SD,09 17 18 20 21 30 31 32 40 41 50 52 60 70 71 80 90 92,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,SE,00 01 02 03 04 10 11 12 13 14 15 16 17 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 50 51 52 53 54 55 56 57 58 60 61 62 63 64 65 66 67 68 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 87 88 89 90 91 92 93 98 99,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,SH,27 28 36 37 39 46 57 58 67 68 77 78 87 88 97 98,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,SJ,06 07 08 10 11 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 84 86 87 88 89 90 91 92 93 97 98 99,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,SK,00 03 08 09 10 11 12 13 14 15 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,SM,70 72 80 82 83 93,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,SN,03 14 15 20 24 25 35 46 56 57 58 59 67 68 69,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,SO,02 04 05 10 11 12 13 14 19 20 21 24 25 26 27 28 29 30 32 36 37 38 39 40 46 47 48 49 50 51 53 56 57 58 59 60 61 62 63 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,SP,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,SR,89 99,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,SS,09 10 11 19 20 41 42 43 44 48 53 54,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,ST,09 17 18 25 26 27 28 29 36 37 38 39 47 48 49 56 57 58 59 66 67 68 69 75 76 77 78 79 85 86 87 88 89 90 94 95 96 97 98 99,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,SU,00 01 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,SV,80 81 90 91,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,SW,32 33 42 43 44 52 53 54 61 62 63 64 65 71 72 73 74 75 76 81 82 83 84 85 86 87 93 94 95 96 97 98,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,SX,03 04 05 06 07 08 09 14 15 16 17 18 19 25 26 27 28 35 36 37 38 44 45 46 47 48 54 55 56 57 63 64 65 69 73 74 75 76 77 78 79 83 84 85 86 87 88 89 95 96 97 98 99,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,SY,07 08 09 18 19 28 29 39 58 67 68 78 79 88 89 97 98 99,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,SZ,07 08 09 19 29 38 39 47 48 49 57 58 59 68 69 79 89 99,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,TA,00 01 02 03 04 05 08 09 10 11 12 13 14 16 20 21 22 30 32,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,TF,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 24 25 26 27 28 29 30 31 33 34 35 36 37 38 39 40 41 45 46 47 48 50 55 56 60 61 62 63 64 70 71 72 73 74 80 81 82 83 84 90 91 92 93 94,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,TG,00 01 02 03 04 10 11 12 13 14 20 21 22 23 24 30 31 32 33 40 41 42 50 51,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,TL,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,TM,00 01 02 03 04 05 06 07 08 09 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 33 34 35 36 37 38 39 44 45 46 47 48 49 57 58 59,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,TQ,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 91 92 93 94 95 96 97 98 99,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,TR,01 02 03 04 05 06 07 09 12 13 14 15 16 23 24 25 26 27 33 34 35 36 37 46 47,OSGB
Exochomus quadripustulatus,NBNSYS0000008312,TV,49 59 69,OSGB
Scymnus femoralis,NBNSYS0000008295,SE,51,OSGB
Scymnus femoralis,NBNSYS0000008295,SJ,90,OSGB
Scymnus femoralis,NBNSYS0000008295,SK,20 31 32 40 41 42 49 50 51 68 81,OSGB
Scymnus femoralis,NBNSYS0000008295,SP,08 09 14 15 16 17 18 19 24 26 27 28 29 35 36 37 38 39 45 46 47 48 57 76,OSGB
Scymnus femoralis,NBNSYS0000008295,SU,83 84 94,OSGB
Scymnus femoralis,NBNSYS0000008295,TA,13 22 23 24 32 33,OSGB
Scymnus femoralis,NBNSYS0000008295,TF,55 56 60 61 62 63 64 70 71 72 73 74 83 84 94,OSGB
Scymnus femoralis,NBNSYS0000008295,TG,04 24,OSGB
Scymnus femoralis,NBNSYS0000008295,TL,69 78 79 88 89,OSGB
